Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 3940, 12, 3954, 12, 4096, 7, 2.823708, 1.970782
51, 3939, 13, 3954, 12, 4096, 7, 2.834308, 1.865557
101, 3938, 14, 3953, 13, 4096, 7, 2.83466, 1.835665
151, 3935, 17, 3952, 14, 4096, 7, 2.836233, 1.64783
201, 3933, 19, 3950, 16, 4093, 10, 2.72515, 3.455162
251, 3929, 23, 3949, 17, 4092, 11, 2.837894, 1.674171
301, 3929, 23, 3945, 21, 4090, 13, 2.824911, 2.110292
351, 3927, 25, 3940, 26, 4090, 13, 2.836522, 1.982691
401, 3924, 28, 3937, 29, 4089, 14, 2.837344, 1.958926
451, 3924, 28, 3936, 30, 4089, 14, 2.828511, 1.852282
501, 3922, 30, 3935, 31, 4088, 15, 2.837834, 1.953435
551, 3920, 32, 3934, 32, 4087, 16, 2.828397, 1.927401
601, 3919, 33, 3931, 35, 4086, 17, 2.838212, 1.988982
651, 3915, 37, 3931, 35, 4083, 20, 2.839763, 1.91664
701, 3915, 37, 3926, 40, 4082, 21, 2.722357, 3.61556
751, 3911, 41, 3924, 42, 4082, 21, 2.840534, 1.933163
801, 3909, 43, 3923, 43, 4080, 23, 2.721817, 3.633604
851, 3906, 46, 3921, 45, 4080, 23, 2.831349, 1.930395
901, 3904, 48, 3919, 47, 4078, 25, 2.842469, 1.90816
951, 3903, 49, 3917, 49, 4078, 25, 2.842666, 1.911488
1001, 3902, 50, 3914, 52, 4077, 26, 2.842391, 1.951589
1051, 3901, 51, 3912, 54, 4076, 27, 2.842308, 1.975326
1101, 3899, 53, 3911, 55, 4075, 28, 2.84292, 1.963077
1151, 3896, 56, 3908, 58, 4074, 29, 2.843762, 1.951597
1201, 3894, 58, 3907, 59, 4072, 31, 2.844087, 1.960519
1251, 3888, 64, 3903, 63, 4072, 31, 2.835825, 1.910487
1301, 3884, 68, 3902, 64, 4071, 32, 2.848705, 1.826722
1351, 3878, 74, 3900, 66, 4067, 36, 2.850681, 1.805992
1401, 3872, 80, 3895, 71, 4065, 38, 2.852536, 1.794532
1451, 3863, 89, 3892, 74, 4062, 41, 2.835147, 2.083658
1501, 3856, 96, 3890, 76, 4061, 42, 2.859928, 1.673994
1551, 3853, 99, 3884, 82, 4058, 45, 2.836781, 2.079583
1601, 3844, 108, 3882, 84, 4055, 48, 2.714879, 3.74482
1651, 3842, 110, 3876, 90, 4054, 49, 2.83838, 2.078061
1701, 3838, 114, 3869, 97, 4048, 55, 2.713952, 3.681944
1751, 3835, 117, 3864, 102, 4045, 58, 2.840691, 2.079944
1801, 3832, 120, 3858, 108, 4042, 61, 2.842488, 2.058021
1851, 3826, 126, 3854, 112, 4040, 63, 2.864051, 1.831154
1901, 3821, 131, 3848, 118, 4036, 67, 2.864691, 1.851892
1951, 3815, 137, 3843, 123, 4034, 69, 2.711112, 3.651515
2001, 3809, 143, 3839, 127, 4030, 73, 2.868402, 1.838053
2051, 3803, 149, 3834, 132, 4025, 78, 2.84614, 2.094557
2101, 3795, 157, 3829, 137, 4018, 85, 2.711865, 3.438951
2151, 3788, 164, 3827, 139, 4013, 90, 2.873563, 1.850783
2201, 3786, 166, 3823, 143, 4013, 90, 2.846059, 2.154561
2251, 3783, 169, 3815, 151, 4009, 94, 2.71099, 3.406655
2301, 3777, 175, 3812, 154, 4008, 95, 2.875783, 1.867149
2351, 3772, 180, 3806, 160, 4003, 100, 2.850341, 2.126169
2401, 3766, 186, 3801, 165, 4002, 101, 2.878167, 1.878546
2451, 3759, 193, 3799, 167, 3998, 105, 2.881011, 1.859405
2501, 3757, 195, 3794, 172, 3994, 109, 2.852007, 2.139939
2551, 3753, 199, 3789, 177, 3989, 114, 2.879909, 1.910987
2601, 3749, 203, 3786, 180, 3984, 119, 2.852194, 2.167667
2651, 3740, 212, 3779, 187, 3983, 120, 2.88417, 1.895233
