Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 3823, 10, 4068, 8, 4024, 3, 2.909101, 1.693403
51, 3823, 10, 4068, 8, 4024, 3, 2.909101, 1.693403
101, 3820, 13, 4066, 10, 4024, 3, 2.734477, 2.004343
151, 3820, 13, 4062, 14, 4023, 4, 2.762599, 6.123347
201, 3820, 13, 4059, 17, 4021, 6, 2.736985, 1.706079
251, 3819, 14, 4059, 17, 4020, 7, 2.763138, 4.373248
301, 3819, 14, 4057, 19, 4018, 9, 2.76357, 3.822636
351, 3816, 17, 4056, 20, 4017, 10, 2.76352, 3.73681
401, 3815, 18, 4055, 21, 4015, 12, 2.763977, 3.421507
451, 3815, 18, 4053, 23, 4013, 14, 2.737113, 1.952455
501, 3814, 19, 4052, 24, 4012, 15, 2.764525, 3.143411
551, 3814, 19, 4051, 25, 4010, 17, 2.737154, 2.008609
601, 3810, 23, 4047, 29, 4007, 20, 2.737709, 2.031664
651, 3809, 24, 4043, 33, 4006, 21, 2.764552, 3.030006
701, 3806, 27, 4040, 36, 4005, 22, 2.74007, 1.903968
751, 3802, 31, 4037, 39, 4005, 22, 2.91047, 2.349025
801, 3796, 37, 4034, 42, 4005, 22, 2.913625, 2.116402
851, 3793, 40, 4032, 44, 4004, 23, 2.741872, 1.890859
901, 3791, 42, 4031, 45, 4004, 23, 2.915627, 2.030541
951, 3789, 44, 4025, 51, 4003, 24, 2.74439, 1.808955
1001, 3786, 47, 4022, 54, 4002, 25, 2.758749, 3.916446
1051, 3785, 48, 4019, 57, 4002, 25, 2.916142, 2.10063
1101, 3783, 50, 4015, 61, 4002, 25, 2.747964, 1.72706
1151, 3779, 54, 4012, 64, 4001, 26, 2.748683, 1.729884
1201, 3777, 56, 4006, 70, 4001, 26, 2.751259, 1.669811
1251, 3774, 59, 4002, 74, 4001, 26, 2.75289, 1.640003
1301, 3772, 61, 3999, 77, 4000, 27, 2.919664, 2.056625
1351, 3771, 62, 3996, 80, 3999, 28, 2.754916, 1.622282
1401, 3766, 67, 3991, 85, 3996, 31, 2.92036, 2.094826
1451, 3759, 74, 3989, 87, 3995, 32, 2.924057, 1.985093
1501, 3754, 79, 3985, 91, 3993, 34, 2.756292, 1.698955
1551, 3749, 84, 3977, 99, 3992, 35, 2.759149, 1.669637
1601, 3743, 90, 3975, 101, 3989, 38, 2.92952, 1.924838
1651, 3741, 92, 3969, 107, 3987, 40, 2.928811, 1.975544
1701, 3736, 97, 3963, 113, 3985, 42, 2.930171, 1.972284
1751, 3732, 101, 3958, 118, 3981, 46, 2.930495, 1.998265
1801, 3728, 105, 3955, 121, 3980, 47, 2.763913, 1.712033
1851, 3724, 109, 3948, 128, 3979, 48, 2.766627, 1.685824
1901, 3721, 112, 3942, 134, 3976, 51, 2.768429, 1.68124
1951, 3716, 117, 3940, 136, 3974, 53, 2.93514, 1.97821
2001, 3713, 120, 3936, 140, 3973, 54, 2.769521, 1.697114
2051, 3711, 122, 3932, 144, 3971, 56, 2.935542, 2.005171
2101, 3706, 127, 3924, 152, 3969, 58, 2.93655, 2.0124
2151, 3700, 133, 3922, 154, 3965, 62, 2.742637, 4.256002
2201, 3694, 139, 3921, 155, 3962, 65, 2.941988, 1.947661
2251, 3689, 144, 3915, 161, 3959, 68, 2.773092, 1.750128
2301, 3681, 152, 3913, 163, 3955, 72, 2.946541, 1.922424
2351, 3676, 157, 3904, 172, 3954, 73, 2.775545, 1.759861
2401, 3674, 159, 3896, 180, 3949, 78, 2.945805, 1.984526
2451, 3670, 163, 3888, 188, 3947, 80, 2.739371, 4.076585
2501, 3660, 173, 3881, 195, 3945, 82, 2.782612, 1.73901
2551, 3653, 180, 3874, 202, 3944, 83, 2.953216, 1.946272
2601, 3642, 191, 3865, 211, 3938, 89, 2.786273, 1.75109
2651, 3629, 204, 3862, 214, 3933, 94, 2.963349, 1.884467
2701, 3620, 213, 3855, 221, 3931, 96, 2.73241, 4.138727
2751, 3611, 222, 3849, 227, 3928, 99, 2.970973, 1.847916
2801, 3606, 227, 3836, 240, 3924, 103, 2.792193, 1.781536
2851, 3594, 239, 3826, 250, 3919, 108, 2.794386, 1.7884
2901, 3583, 250, 3814, 262, 3918, 109, 2.979379, 1.853222
2951, 3573, 260, 3807, 269, 3912, 115, 2.982921, 1.847855
3001, 3568, 265, 3797, 279, 3906, 121, 2.981945, 1.882421
3051, 3555, 278, 3789, 287, 3900, 127, 2.80257, 1.810045
3101, 3552, 281, 3776, 300, 3897, 130, 2.808182, 1.782422
3151, 3545, 288, 3765, 311, 3894, 133, 2.812036, 1.772046
3201, 3535, 298, 3753, 323, 3888, 139, 2.717643, 4.116748
3251, 3530, 303, 3746, 330, 3884, 143, 2.989532, 1.931916
3301, 3524, 309, 3741, 335, 3879, 148, 2.990811, 1.937867
3351, 3514, 319, 3734, 342, 3876, 151, 2.715448, 4.061867
3401, 3506, 327, 3724, 352, 3872, 155, 2.821916, 1.788646
3451, 3500, 333, 3711, 365, 3867, 160, 2.826579, 1.778045
3501, 3493, 340, 3704, 372, 3863, 164, 2.998978, 1.949976
3551, 3483, 350, 3691, 385, 3854, 173, 2.711272, 3.98369
3601, 3468, 365, 3681, 395, 3852, 175, 3.007984, 1.936257
3651, 3455, 378, 3665, 411, 3849, 178, 2.840197, 1.773965
3701, 3448, 385, 3653, 423, 3844, 183, 2.844341, 1.768428
3751, 3434, 399, 3634, 442, 3841, 186, 2.852017, 1.751564
3801, 3419, 414, 3624, 452, 3838, 189, 3.025731, 1.916535
3851, 3409, 424, 3618, 458, 3827, 200, 3.02825, 1.922447
3901, 3401, 432, 3603, 473, 3821, 206, 2.858686, 1.772891
3951, 3391, 442, 3594, 482, 3810, 217, 2.859133, 1.789833
4001, 3385, 448, 3581, 495, 3804, 223, 3.029632, 1.971242
4051, 3375, 458, 3571, 505, 3801, 226, 3.033888, 1.962992
4101, 3363, 470, 3566, 510, 3790, 237, 3.037341, 1.96562
4151, 3353, 480, 3557, 519, 3786, 241, 2.866981, 1.812269
4201, 3339, 494, 3549, 527, 3776, 251, 3.046504, 1.955755
4251, 3328, 505, 3539, 537, 3766, 261, 3.04949, 1.959844
4301, 3314, 519, 3531, 545, 3762, 265, 3.056876, 1.94208
4351, 3298, 535, 3523, 553, 3750, 277, 3.063096, 1.937077
4401, 3285, 548, 3512, 564, 3745, 282, 2.869988, 1.877709
4451, 3279, 554, 3499, 577, 3738, 289, 3.06754, 1.949396
4501, 3272, 561, 3490, 586, 3736, 291, 2.878139, 1.866423
4551, 3263, 570, 3475, 601, 3728, 299, 2.687392, 3.745261
4601, 3253, 580, 3469, 607, 3720, 307, 2.687937, 3.711076
4651, 3246, 587, 3462, 614, 3714, 313, 3.075444, 1.968551
4701, 3236, 597, 3452, 624, 3709, 318, 2.686226, 3.695648
4751, 3226, 607, 3446, 630, 3701, 326, 3.082462, 1.967728
4801, 3217, 616, 3432, 644, 3699, 328, 2.89177, 1.884901
4851, 3203, 630, 3421, 655, 3693, 334, 3.091084, 1.964585
4901, 3198, 635, 3406, 670, 3687, 340, 2.900557, 1.879304
4951, 3184, 649, 3401, 675, 3680, 347, 2.899006, 1.894685
5001, 3171, 662, 3387, 689, 3675, 352, 2.903787, 1.891589
5051, 3153, 680, 3374, 702, 3669, 358, 3.110989, 1.955128
5101, 3137, 696, 3359, 717, 3662, 365, 2.671107, 3.717365
5151, 3122, 711, 3343, 733, 3659, 368, 2.666579, 3.75386
5201, 3101, 732, 3328, 748, 3654, 373, 2.66239, 3.780333
5251, 3084, 749, 3314, 762, 3652, 375, 2.928491, 1.881124
5301, 3077, 756, 3305, 771, 3643, 384, 2.658194, 3.788108
5351, 3068, 765, 3290, 786, 3630, 397, 2.933744, 1.891119
5401, 3058, 775, 3270, 806, 3624, 403, 2.942981, 1.879511
5451, 3047, 786, 3250, 826, 3618, 409, 2.952415, 1.868138
5501, 3037, 796, 3239, 837, 3608, 419, 3.151138, 1.970379
5551, 3028, 805, 3222, 854, 3600, 427, 2.650859, 3.736143
5601, 3016, 817, 3206, 870, 3593, 434, 2.648499, 3.738184
5651, 3003, 830, 3193, 883, 3585, 442, 2.972123, 1.866861
5701, 2992, 841, 3178, 898, 3581, 446, 2.643626, 3.747987
5751, 2980, 853, 3162, 914, 3573, 454, 3.167453, 1.99228
5801, 2967, 866, 3145, 931, 3568, 459, 2.992713, 1.854289
5851, 2954, 879, 3131, 945, 3557, 470, 2.6372, 3.740222
5901, 2942, 891, 3113, 963, 3548, 479, 3.003057, 1.858681
5951, 2928, 905, 3098, 978, 3538, 489, 2.633661, 3.722981
6001, 2911, 922, 3082, 994, 3528, 499, 3.189636, 2.010191
6051, 2889, 944, 3063, 1013, 3524, 503, 3.202913, 1.997045
6101, 2874, 959, 3042, 1034, 3517, 510, 3.2083, 1.999765
6151, 2849, 984, 3033, 1043, 3511, 516, 3.227056, 1.976165
6201, 2830, 1003, 3018, 1058, 3498, 529, 2.618217, 3.742736
6251, 2810, 1023, 2994, 1082, 3490, 537, 3.045614, 1.866785
6301, 2784, 1049, 2985, 1091, 3475, 552, 3.261531, 1.962181
6351, 2774, 1059, 2969, 1107, 3464, 563, 3.262019, 1.973175
6401, 2752, 1081, 2947, 1129, 3452, 575, 3.272589, 1.972497
6451, 2739, 1094, 2928, 1148, 3441, 586, 2.607255, 3.697736
6501, 2726, 1107, 2914, 1162, 3428, 599, 3.06744, 1.893218
6551, 2703, 1130, 2896, 1180, 3417, 610, 3.292513, 1.981216
6601, 2681, 1152, 2881, 1195, 3409, 618, 2.601072, 3.675377
6651, 2667, 1166, 2867, 1209, 3396, 631, 3.312576, 1.975812
6701, 2649, 1184, 2845, 1231, 3382, 645, 3.089902, 1.907119
6751, 2634, 1199, 2826, 1250, 3374, 653, 3.099709, 1.902924
6801, 2624, 1209, 2801, 1275, 3367, 660, 3.325828, 1.99459
6851, 2608, 1225, 2789, 1287, 3359, 668, 3.33574, 1.990874
6901, 2597, 1236, 2770, 1306, 3349, 678, 3.337579, 1.998979
6951, 2582, 1251, 2758, 1318, 3339, 688, 2.587181, 3.633478
7001, 2568, 1265, 2744, 1332, 3331, 696, 3.353112, 1.998133
7051, 2548, 1285, 2729, 1347, 3320, 707, 2.583218, 3.623971
7101, 2537, 1296, 2706, 1370, 3306, 721, 2.582037, 3.609181
7151, 2508, 1325, 2690, 1386, 3300, 727, 3.160481, 1.90241
7201, 2489, 1344, 2666, 1410, 3290, 737, 2.571805, 3.632558
7251, 2470, 1363, 2649, 1427, 3285, 742, 3.183089, 1.896587
7301, 2450, 1383, 2625, 1451, 3278, 749, 3.197644, 1.891539
7351, 2433, 1400, 2607, 1469, 3266, 761, 2.558692, 3.655385
7401, 2418, 1415, 2583, 1493, 3257, 770, 3.220888, 1.888064
7451, 2403, 1430, 2560, 1516, 3249, 778, 3.235668, 1.883328
7501, 2391, 1442, 2542, 1534, 3241, 786, 3.246992, 1.880432
