Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4031, 7, 4031, 8, 4034, 4, 2.782298, 2.294775
51, 4031, 7, 4031, 8, 4034, 4, 2.782298, 2.294775
101, 4031, 7, 4031, 8, 4034, 4, 2.782298, 2.294775
151, 4031, 7, 4030, 9, 4034, 4, 2.782793, 1.872394
201, 4031, 7, 4030, 9, 4034, 4, 2.782793, 1.872394
251, 4030, 8, 4029, 10, 4034, 4, 2.782404, 2.302284
301, 4030, 8, 4029, 10, 4033, 5, 2.780079, 3.890097
351, 4030, 8, 4029, 10, 4033, 5, 2.780079, 3.890097
401, 4030, 8, 4028, 11, 4033, 5, 2.783297, 1.85342
451, 4029, 9, 4028, 11, 4033, 5, 2.782548, 2.291171
501, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
551, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
601, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
651, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
701, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
751, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
801, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
851, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
901, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
951, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1001, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1051, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1101, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1151, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1201, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1251, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1301, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1351, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1401, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1451, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1501, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1551, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1601, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1651, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1701, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1751, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1801, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1851, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1901, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
1951, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2001, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2051, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2101, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2151, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2201, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2251, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2301, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2351, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2401, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2451, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2501, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2551, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2601, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2651, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2701, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2751, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2801, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2851, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2901, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
2951, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3001, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3051, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3101, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3151, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3201, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3251, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3301, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3351, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3401, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3451, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3501, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3551, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3601, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3651, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3701, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3751, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3801, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3851, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3901, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
3951, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
4001, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
4051, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
4101, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
4151, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
4201, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
4251, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
4301, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
4351, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
4401, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
4451, 4029, 9, 4027, 12, 4033, 5, 2.783697, 1.796705
