Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4085, 2, 4081, 8, 4084, 3, 2.770166, 6.629051
51, 4085, 2, 4081, 8, 4084, 3, 2.770166, 6.629051
101, 4085, 2, 4080, 9, 4084, 3, 2.773366, 1.561459
151, 4084, 3, 4076, 13, 4083, 4, 2.76954, 6.195757
201, 4082, 5, 4074, 15, 4082, 5, 2.775487, 1.470082
251, 4081, 6, 4072, 17, 4082, 5, 2.776338, 1.420055
301, 4076, 11, 4069, 20, 4082, 5, 2.772252, 2.699053
351, 4076, 11, 4069, 20, 4082, 5, 2.772252, 2.699053
401, 4075, 12, 4067, 22, 4082, 5, 2.777905, 1.438515
451, 4071, 16, 4064, 25, 4082, 5, 2.774154, 2.237959
501, 4069, 18, 4063, 26, 4080, 7, 2.774616, 2.193181
551, 4068, 19, 4062, 27, 4080, 7, 2.77902, 1.518832
601, 4066, 21, 4061, 28, 4080, 7, 2.775762, 2.054346
651, 4066, 21, 4060, 29, 4079, 8, 2.766399, 5.655863
701, 4065, 22, 4058, 31, 4078, 9, 2.775164, 2.197674
751, 4065, 22, 4057, 32, 4077, 10, 2.780218, 1.563848
801, 4064, 23, 4057, 32, 4077, 10, 2.775341, 2.191354
851, 4064, 23, 4057, 32, 4076, 11, 2.766925, 4.67281
901, 4064, 23, 4056, 33, 4076, 11, 2.78037, 1.582099
951, 4063, 24, 4056, 33, 4074, 13, 2.767352, 4.245894
1001, 4063, 24, 4056, 33, 4074, 13, 2.767352, 4.245894
1051, 4063, 24, 4056, 33, 4074, 13, 2.767352, 4.245894
1101, 4063, 24, 4054, 35, 4073, 14, 2.780343, 1.653585
1151, 4062, 25, 4054, 35, 4073, 14, 2.774751, 2.333878
1201, 4061, 26, 4054, 35, 4072, 15, 2.767547, 3.995667
1251, 4059, 28, 4053, 36, 4070, 17, 2.775479, 2.275668
1301, 4058, 29, 4050, 39, 4069, 18, 2.780708, 1.731213
1351, 4057, 30, 4049, 40, 4068, 19, 2.780796, 1.748623
1401, 4057, 30, 4049, 40, 4067, 20, 2.768184, 3.559102
1451, 4056, 31, 4048, 41, 4066, 21, 2.775097, 2.373993
1501, 4053, 34, 4048, 41, 4066, 21, 2.776832, 2.2025
1551, 4052, 35, 4047, 42, 4065, 22, 2.780337, 1.841947
1601, 4051, 36, 4046, 43, 4064, 23, 2.776991, 2.216527
1651, 4050, 37, 4045, 44, 4062, 25, 2.780228, 1.894661
1701, 4045, 42, 4043, 46, 4060, 27, 2.780116, 1.942986
1751, 4042, 45, 4042, 47, 4060, 27, 2.780182, 1.955129
1801, 4040, 47, 4039, 50, 4059, 28, 2.781088, 1.931394
1851, 4038, 49, 4034, 55, 4058, 29, 2.780374, 2.086414
1901, 4037, 50, 4034, 55, 4057, 30, 2.780682, 2.075407
1951, 4036, 51, 4032, 57, 4056, 31, 2.766837, 3.45465
2001, 4034, 53, 4030, 59, 4056, 31, 2.784023, 1.860526
2051, 4034, 53, 4027, 62, 4055, 32, 2.785256, 1.825093
2101, 4031, 56, 4023, 66, 4054, 33, 2.765229, 3.610412
2151, 4030, 57, 4021, 68, 4054, 33, 2.781163, 2.128015
2201, 4028, 59, 4020, 69, 4053, 34, 2.764631, 3.656828
2251, 4026, 61, 4020, 69, 4053, 34, 2.78284, 2.060089
2301, 4025, 62, 4019, 70, 4052, 35, 2.782921, 2.066534
2351, 4024, 63, 4019, 70, 4051, 36, 2.764631, 3.607208
2401, 4024, 63, 4019, 70, 4051, 36, 2.764631, 3.607208
2451, 4023, 64, 4016, 73, 4051, 36, 2.787988, 1.819485
2501, 4023, 64, 4016, 73, 4051, 36, 2.787988, 1.819485
2551, 4023, 64, 4014, 75, 4051, 36, 2.788963, 1.793099
2601, 4022, 65, 4012, 77, 4050, 37, 2.763211, 3.73984
2651, 4021, 66, 4012, 77, 4050, 37, 2.783035, 2.102968
2701, 4021, 66, 4011, 78, 4050, 37, 2.789767, 1.790087
2751, 4021, 66, 4009, 80, 4048, 39, 2.79015, 1.79588
2801, 4018, 69, 4009, 80, 4048, 39, 2.783466, 2.10743
2851, 4018, 69, 4006, 83, 4047, 40, 2.762605, 3.727892
2901, 4015, 72, 4002, 87, 4046, 41, 2.783037, 2.159544
2951, 4013, 74, 4000, 89, 4046, 41, 2.783801, 2.13497
3001, 4011, 76, 3999, 90, 4046, 41, 2.784727, 2.103151
3051, 4009, 78, 3997, 92, 4045, 42, 2.785175, 2.097615
3101, 4008, 79, 3994, 95, 4044, 43, 2.794538, 1.768374
3151, 4005, 82, 3991, 98, 4043, 44, 2.785584, 2.111159
3201, 4003, 84, 3991, 98, 4041, 46, 2.75988, 3.841477
3251, 4002, 85, 3991, 98, 4041, 46, 2.78667, 2.083854
3301, 4000, 87, 3990, 99, 4038, 49, 2.793822, 1.838697
3351, 3999, 88, 3989, 100, 4038, 49, 2.794157, 1.834881
3401, 3999, 88, 3986, 103, 4037, 50, 2.795294, 1.818847
3451, 3998, 89, 3984, 105, 4036, 51, 2.795853, 1.816218
3501, 3997, 90, 3983, 106, 4036, 51, 2.786452, 2.132596
3551, 3996, 91, 3982, 107, 4036, 51, 2.78681, 2.124022
3601, 3995, 92, 3981, 108, 4036, 51, 2.797008, 1.800862
3651, 3993, 94, 3980, 109, 4035, 52, 2.787887, 2.099425
3701, 3992, 95, 3980, 109, 4034, 53, 2.759138, 3.755025
3751, 3990, 97, 3980, 109, 4031, 56, 2.760006, 3.639178
3801, 3987, 100, 3977, 112, 4030, 57, 2.789178, 2.089286
3851, 3987, 100, 3977, 112, 4030, 57, 2.789178, 2.089286
3901, 3986, 101, 3976, 113, 4028, 59, 2.759929, 3.599762
3951, 3985, 102, 3975, 114, 4026, 61, 2.795791, 1.89572
4001, 3982, 105, 3971, 118, 4026, 61, 2.797451, 1.870365
4051, 3977, 110, 3968, 121, 4026, 61, 2.798434, 1.861107
4101, 3974, 113, 3966, 123, 4024, 63, 2.798502, 1.874159
4151, 3971, 116, 3962, 127, 4022, 65, 2.793333, 2.043587
4201, 3967, 120, 3959, 130, 4019, 68, 2.758116, 3.595798
4251, 3965, 122, 3953, 136, 4016, 71, 2.757808, 3.577806
4301, 3959, 128, 3950, 139, 4012, 75, 2.794763, 2.069643
4351, 3954, 133, 3947, 142, 4010, 77, 2.801262, 1.921139
4401, 3947, 140, 3942, 147, 4008, 79, 2.798874, 2.015893
4451, 3937, 150, 3940, 149, 4007, 80, 2.803963, 1.934532
4501, 3932, 155, 3933, 156, 4006, 81, 2.753236, 3.702711
4551, 3927, 160, 3929, 160, 4004, 83, 2.805208, 1.923256
4601, 3922, 165, 3923, 166, 3997, 90, 2.806239, 1.959496
4651, 3919, 168, 3915, 174, 3995, 92, 2.80866, 1.916566
4701, 3911, 176, 3912, 177, 3994, 93, 2.808827, 1.927985
4751, 3904, 183, 3909, 180, 3991, 96, 2.750874, 3.652589
4801, 3901, 186, 3904, 185, 3990, 97, 2.749776, 3.688457
4851, 3895, 192, 3902, 187, 3987, 100, 2.814847, 1.903932
4901, 3891, 196, 3899, 190, 3983, 104, 2.815376, 1.912027
4951, 3889, 198, 3893, 196, 3981, 106, 2.811753, 1.955256
5001, 3887, 200, 3890, 199, 3979, 108, 2.812356, 1.956382
5051, 3884, 203, 3886, 203, 3977, 110, 2.813522, 1.950937
5101, 3883, 204, 3883, 206, 3975, 112, 2.814275, 1.949296
5151, 3882, 205, 3881, 208, 3974, 113, 2.814792, 1.947971
5201, 3881, 206, 3877, 212, 3973, 114, 2.81353, 1.990676
5251, 3878, 209, 3874, 215, 3972, 115, 2.817218, 1.932495
5301, 3878, 209, 3872, 217, 3970, 117, 2.817569, 1.934384
5351, 3875, 212, 3866, 223, 3970, 117, 2.813703, 2.010803
5401, 3869, 218, 3864, 225, 3966, 121, 2.819129, 1.939004
5451, 3868, 219, 3861, 228, 3965, 122, 2.820127, 1.933682
5501, 3867, 220, 3857, 232, 3964, 123, 2.821894, 1.919584
5551, 3863, 224, 3855, 234, 3961, 126, 2.74578, 3.598039
5601, 3859, 228, 3848, 241, 3959, 128, 2.82388, 1.921562
5651, 3852, 235, 3845, 244, 3953, 134, 2.817586, 2.025733
5701, 3845, 242, 3841, 248, 3953, 134, 2.823821, 1.947946
5751, 3842, 245, 3837, 252, 3951, 136, 2.824959, 1.944522
5801, 3837, 250, 3836, 253, 3947, 140, 2.823092, 1.988726
5851, 3833, 254, 3828, 261, 3942, 145, 2.825997, 1.959651
5901, 3829, 258, 3827, 262, 3941, 146, 2.824219, 1.997884
5951, 3823, 264, 3821, 268, 3939, 148, 2.742547, 3.557401
6001, 3820, 267, 3817, 272, 3936, 151, 2.742544, 3.541297
6051, 3812, 275, 3813, 276, 3933, 154, 2.828241, 1.97575
6101, 3804, 283, 3806, 283, 3929, 158, 2.741245, 3.538205
6151, 3802, 285, 3801, 288, 3926, 161, 2.831385, 1.969771
6201, 3797, 290, 3794, 295, 3924, 163, 2.833735, 1.959991
6251, 3795, 292, 3792, 297, 3919, 168, 2.741191, 3.492025
6301, 3794, 293, 3788, 301, 3919, 168, 2.834934, 1.962313
6351, 3789, 298, 3779, 310, 3918, 169, 2.831377, 2.017771
6401, 3785, 302, 3773, 316, 3912, 175, 2.830796, 2.035824
6451, 3775, 312, 3767, 322, 3910, 177, 2.737081, 3.544621
6501, 3770, 317, 3763, 326, 3906, 181, 2.841008, 1.959112
6551, 3765, 322, 3757, 332, 3906, 181, 2.837454, 2.007365
6601, 3763, 324, 3751, 338, 3904, 183, 2.845759, 1.937708
6651, 3758, 329, 3747, 342, 3902, 185, 2.846626, 1.938826
6701, 3752, 335, 3740, 349, 3897, 190, 2.838921, 2.023151
6751, 3744, 343, 3736, 353, 3894, 193, 2.842024, 2.008308
6801, 3737, 350, 3733, 356, 3893, 194, 2.848536, 1.954512
6851, 3734, 353, 3729, 360, 3890, 197, 2.849399, 1.955497
6901, 3728, 359, 3721, 368, 3886, 201, 2.730586, 3.573788
6951, 3723, 364, 3714, 375, 3885, 202, 2.847594, 1.999429
7001, 3717, 370, 3707, 382, 3881, 206, 2.848441, 2.004688
7051, 3713, 374, 3699, 390, 3877, 210, 2.727396, 3.596534
7101, 3708, 379, 3694, 395, 3871, 216, 2.848113, 2.027931
7151, 3701, 386, 3686, 403, 3866, 221, 2.849258, 2.03183
7201, 3697, 390, 3678, 411, 3864, 223, 2.864033, 1.935471
7251, 3694, 393, 3673, 416, 3863, 224, 2.86611, 1.92829
7301, 3692, 395, 3660, 429, 3858, 229, 2.724066, 3.580526
7351, 3681, 406, 3656, 433, 3853, 234, 2.851169, 2.05477
7401, 3679, 408, 3647, 442, 3849, 238, 2.874185, 1.916819
7451, 3674, 413, 3642, 447, 3844, 243, 2.874853, 1.922088
7501, 3663, 424, 3637, 452, 3843, 244, 2.721692, 3.565277
7551, 3651, 436, 3631, 458, 3838, 249, 2.860332, 2.032841
7601, 3643, 444, 3619, 470, 3836, 251, 2.862313, 2.031499
7651, 3630, 457, 3611, 478, 3835, 252, 2.868623, 2.00501
7701, 3624, 463, 3601, 488, 3833, 254, 2.869588, 2.008643
7751, 3613, 474, 3592, 497, 3828, 259, 2.873229, 2.000873
7801, 3609, 478, 3581, 508, 3825, 262, 2.894993, 1.894521
7851, 3601, 486, 3570, 519, 3816, 271, 2.872828, 2.025377
7901, 3594, 493, 3560, 529, 3813, 274, 2.874052, 2.028488
7951, 3578, 509, 3543, 546, 3809, 278, 2.907809, 1.880989
8001, 3567, 520, 3535, 554, 3800, 287, 2.705235, 3.656777
8051, 3553, 534, 3523, 566, 3796, 291, 2.887444, 2.004307
8101, 3539, 548, 3517, 572, 3789, 298, 2.893231, 1.989492
8151, 3526, 561, 3505, 584, 3780, 307, 2.701744, 3.637753
8201, 3513, 574, 3490, 599, 3774, 313, 2.91882, 1.907676
8251, 3500, 587, 3478, 611, 3770, 317, 2.90427, 1.983711
8301, 3489, 598, 3465, 624, 3764, 323, 2.926977, 1.902893
8351, 3474, 613, 3454, 635, 3757, 330, 2.692745, 3.674975
8401, 3467, 620, 3444, 645, 3748, 339, 2.931354, 1.912871
8451, 3459, 628, 3438, 651, 3741, 346, 2.931452, 1.921739
8501, 3452, 635, 3426, 663, 3738, 349, 2.914472, 1.997844
8551, 3444, 643, 3422, 667, 3733, 354, 2.936205, 1.921582
8601, 3432, 655, 3409, 680, 3723, 364, 2.938933, 1.927302
8651, 3423, 664, 3398, 691, 3721, 366, 2.943936, 1.9188
8701, 3412, 675, 3390, 699, 3717, 370, 2.946065, 1.920207
8751, 3394, 693, 3379, 710, 3711, 376, 2.935174, 1.973167
8801, 3382, 705, 3366, 723, 3704, 383, 2.938229, 1.974886
8851, 3365, 722, 3359, 730, 3698, 389, 2.946317, 1.959876
8901, 3356, 731, 3351, 738, 3689, 398, 2.952046, 1.947263
8951, 3346, 741, 3338, 751, 3684, 403, 2.957048, 1.942426
9001, 3338, 749, 3323, 766, 3678, 409, 2.963656, 1.933624
9051, 3324, 763, 3310, 779, 3675, 412, 2.95646, 1.968695
9101, 3312, 775, 3297, 792, 3669, 418, 2.959846, 1.96952
9151, 3300, 787, 3284, 805, 3664, 423, 2.669147, 3.663435
9201, 3287, 800, 3276, 813, 3663, 424, 2.970519, 1.956616
9251, 3276, 811, 3262, 827, 3657, 430, 2.663663, 3.693884
9301, 3267, 820, 3252, 837, 3652, 435, 2.975685, 1.960763
9351, 3256, 831, 3240, 849, 3642, 445, 2.992243, 1.925229
9401, 3244, 843, 3234, 855, 3632, 455, 2.662888, 3.643467
9451, 3235, 852, 3225, 864, 3629, 458, 2.993835, 1.937811
9501, 3224, 863, 3212, 877, 3623, 464, 2.987714, 1.966393
9551, 3214, 873, 3199, 890, 3622, 465, 3.005754, 1.92582
9601, 3205, 882, 3192, 897, 3617, 470, 2.653938, 3.681046
9651, 3199, 888, 3181, 908, 3615, 472, 3.01321, 1.921109
9701, 3190, 897, 3169, 920, 3608, 479, 3.01691, 1.922608
9751, 3182, 905, 3157, 932, 3603, 484, 3.021771, 1.920232
9801, 3169, 918, 3146, 943, 3596, 491, 3.002757, 1.975658
9851, 3160, 927, 3136, 953, 3591, 496, 3.028577, 1.922113
9901, 3148, 939, 3123, 966, 3590, 497, 3.011359, 1.969787
9951, 3139, 948, 3115, 974, 3583, 504, 3.014122, 1.970527
10001, 3131, 956, 3106, 983, 3576, 511, 3.015421, 1.975008
10051, 3123, 964, 3093, 996, 3572, 515, 2.63765, 3.704288
10101, 3114, 973, 3084, 1005, 3567, 520, 3.049315, 1.915725
10151, 3104, 983, 3075, 1014, 3561, 526, 3.052013, 1.917608
10201, 3097, 990, 3063, 1026, 3558, 529, 3.058536, 1.911404
10251, 3093, 994, 3053, 1036, 3553, 534, 2.632328, 3.701755
10301, 3083, 1004, 3045, 1044, 3541, 546, 2.633993, 3.667449
10351, 3075, 1012, 3035, 1054, 3535, 552, 2.632822, 3.663715
10401, 3061, 1026, 3026, 1063, 3531, 556, 3.034171, 1.990056
10451, 3053, 1034, 3016, 1073, 3523, 564, 3.072312, 1.922929
10501, 3048, 1039, 3006, 1083, 3517, 570, 3.076877, 1.920871
10551, 3033, 1054, 2994, 1095, 3514, 573, 3.081953, 1.919662
10601, 3025, 1062, 2987, 1102, 3511, 576, 3.084726, 1.919528
10651, 3018, 1069, 2981, 1108, 3505, 582, 3.085786, 1.922985
10701, 3009, 1078, 2970, 1119, 3499, 588, 2.622993, 3.659082
10751, 3000, 1087, 2962, 1127, 3491, 596, 3.052397, 1.998347
10801, 2990, 1097, 2950, 1139, 3481, 606, 2.623087, 3.62777
10851, 2984, 1103, 2936, 1153, 3474, 613, 3.102298, 1.926318
10901, 2970, 1117, 2928, 1161, 3468, 619, 2.620408, 3.621673
10951, 2957, 1130, 2917, 1172, 3458, 629, 2.61989, 3.608602
11001, 2946, 1141, 2905, 1184, 3453, 634, 3.067934, 2.008113
11051, 2932, 1155, 2890, 1199, 3442, 645, 3.071626, 2.011586
11101, 2926, 1161, 2877, 1212, 3438, 649, 3.124058, 1.93191
11151, 2916, 1171, 2869, 1220, 3431, 656, 3.075724, 2.015867
11201, 2907, 1180, 2860, 1229, 3424, 663, 3.128826, 1.937304
11251, 2896, 1191, 2848, 1241, 3413, 674, 3.131776, 1.942056
