Axon X, Axon Y, Axon D, Axon Dies
5.132387, -7.063624, 1.116627, False
6.53875, -6.559725, 1.471196, False
6.360597, -5.230926, 0.8101812, False
6.976788, -4.480876, 0.6704362, False
7.903505, -4.384102, 0.7930779, False
8.927497, -3.707274, 1.261839, False
9.567654, -1.935621, 2.105684, False
8.175581, -1.351165, 0.5138888, False
8.730021, 2.33805, 2.698722, False
7.379469, 3.721708, 0.7683166, True
6.757763, 4.774841, 1.277585, False
5.762833, 5.395153, 0.6673448, False
2.288847, 8.553325, 0.4836778, False
1.56933, 8.609191, 0.5596869, False
1.033175, 8.136542, 0.4698019, False
0.122776, 8.134254, 0.9510019, False
-7.754159, 5.489664, 1.137123, True
-8.257753, 4.442492, 0.78682, True
-8.226483, 3.458037, 0.7830812, True
-8.581848, 2.259557, 1.317029, True
-9.112337, 1.156458, 0.7310277, True
-9.735771, 0.6068683, 0.5311634, True
-10.49619, -0.0634827, 1.096259, True
-10.55064, -1.191074, 0.7615504, True
-10.32273, -2.364987, 1.230113, True
-9.245778, -2.844657, 0.7277796, True
-8.533464, -2.801157, 0.299501, True
-7.656484, -3.110406, 1.160317, True
-6.323331, -4.93284, 0.5340081, True
-5.783843, -5.611326, 0.7996479, True
-1.773265, -7.511832, 0.2741117, False
-0.04130709, -9.105174, 2.743566, False
1.954626, -9.30344, 0.8679467, False
3.022733, -9.238212, 0.8722467, False
3.940453, -8.463644, 1.129556, False
5.383471, -8.375521, 1.361857, False
6.68695, -7.970881, 0.9678264, False
8.801514, -7.314455, 3.060389, False
9.976839, -4.999401, 1.732245, False
10.60493, -3.470423, 1.173676, False
11.03273, -2.429039, 0.6779807, False
11.02468, -1.642499, 0.4951818, False
11.00727, 0.05915976, 2.508314, False
10.56266, 1.798663, 0.6825335, True
10.63104, 2.777142, 0.8791977, True
10.11483, 3.744384, 0.9135522, True
9.171471, 4.189118, 0.772312, True
8.382073, 3.96257, 0.4702125, True
8.121553, 4.981842, 1.233864, True
7.251427, 6.125852, 1.240769, False
6.129121, 6.081529, 0.6055936, False
5.741881, 6.971905, 0.9362855, False
5.732942, 7.84549, 0.4109775, True
5.724883, 8.633142, 0.7644083, True
5.149671, 9.180452, 0.4235675, True
4.381847, 10.18996, 1.713088, False
3.088551, 9.581919, 0.7451133, False
1.842314, 9.632456, 1.349408, False
0.8652669, 8.843184, 0.7626193, False
-0.1343472, 9.131207, 0.9179435, False
-1.067079, 8.780679, 0.6749027, False
-1.685331, 8.281247, 0.5146484, False
-3.193491, 8.463914, 2.123715, False
-4.748494, 9.050175, 0.7999789, False
-5.730447, 9.249772, 0.8040885, False
-7.195643, 9.309189, 1.728714, False
-7.755232, 8.026247, 0.6706285, True
-8.087406, 7.060553, 0.971827, True
-8.574436, 6.150317, 0.6928536, True
-8.709331, 5.37053, 0.4898843, True
-9.158405, 4.671915, 0.7711154, True
-9.715247, 3.395271, 1.614486, True
-9.850621, 1.916512, 0.955398, True
-10.79714, 1.151905, 1.078131, True
-11.60899, 0.247108, 0.9531276, True
-11.52621, -0.9556295, 1.058037, True
-11.76732, -2.349428, 1.370962, True
-10.95406, -3.95553, 1.829572, False
-9.417276, -3.804515, 0.8587984, True
-8.804861, -3.33121, 0.2891948, True
-8.360134, -3.772984, 0.564514, True
-7.725033, -3.970876, 0.3659213, True
-7.464691, -4.606539, 0.6078993, True
-6.909126, -5.004895, 0.3593471, True
-6.682578, -5.715267, 0.7318965, True
-6.121945, -6.486253, 0.7746492, True
-5.31083, -6.536648, 0.4507083, True
-4.837764, -7.310454, 0.9632025, False
-4.046257, -8.605142, 1.671727, False
-2.722938, -8.687361, 0.5800133, False
-2.072018, -8.333482, 0.5017793, False
-2.012601, -9.196836, 0.8290129, False
-1.619999, -9.97218, 0.5091426, False
-1.344995, -11.80774, 2.802946, False
1.544375, -11.52381, 2.603627, False
2.245371, -10.00663, 0.3389681, False
3.020806, -10.1817, 0.8509384, False
4.286963, -9.847647, 1.368029, False
5.625251, -9.606946, 0.9514942, False
6.352444, -8.945659, 0.6143243, False
7.440324, -9.101243, 1.183574, False
8.749482, -9.627265, 1.238195, False
10.00165, -9.187203, 1.016287, False
10.66805, -8.350919, 0.7223719, False
10.84256, -7.457084, 0.6990511, False
11.7431, -6.120289, 2.124603, False
11.2833, -4.563556, 0.7218307, False
11.939, -3.590209, 1.225376, False
11.65187, -2.618076, 0.4019241, False
11.61992, -1.941694, 0.5523474, False
12.29968, -1.32354, 0.8852502, False
13.31472, -0.2401251, 1.68399, False
12.66381, 1.452124, 1.542244, False
11.46013, 2.212795, 0.9055466, True
11.34861, 3.084794, 0.4526542, True
10.87331, 3.504698, 0.4157888, True
10.9811, 4.456135, 1.099258, True
9.883165, 4.728982, 0.7633952, True
9.119968, 4.918644, 0.4094249, True
9.015393, 5.73638, 0.8393653, True
8.289293, 6.28105, 0.5759987, True
7.908241, 7.07556, 0.7863267, True
7.152098, 8.374407, 1.819504, False
6.152739, 9.410802, 0.6599629, True
5.756275, 10.23745, 0.77364, True
5.39611, 11.17381, 0.8328362, True
4.341918, 11.72744, 1.148616, True
3.205988, 11.14119, 1.007961, True
1.476779, 11.42659, 2.097247, False
0.7986526, 10.03819, 0.5930779, False
0.569505, 9.454912, 0.2602673, False
-0.04073423, 10.08777, 0.6980233, False
-0.853659, 9.747475, 0.6645262, False
-1.614479, 9.354819, 0.6478123, False
-2.382541, 9.840198, 0.7693406, False
-3.321465, 10.07353, 0.765624, False
-4.646806, 10.40289, 1.565682, False
-6.169664, 10.53046, 1.090703, False
-7.284906, 10.71453, 0.769957, True
-7.920604, 10.24473, 0.4109614, True
-8.446032, 9.707557, 0.6918681, True
-8.499165, 8.730591, 0.8649514, True
-9.091519, 7.729595, 1.061313, True
-9.44929, 6.54939, 1.005169, True
-9.343301, 5.550118, 0.6045851, True
-10.0717, 4.91583, 0.9271353, True
-10.91599, 4.180617, 0.9119469, True
-11.3082, 2.886833, 1.391902, True
-12.13438, 1.490695, 1.452653, True
-12.59924, 0.3074304, 0.689954, True
-12.17975, -0.3249868, 0.4278443, True
-12.72757, -1.101591, 1.072916, True
-12.7795, -2.056428, 0.439579, True
-12.72169, -2.601429, 0.2565372, True
-12.56395, -3.441197, 1.052372, True
-12.20158, -4.44739, 0.6865394, True
-11.61594, -5.330286, 1.032406, True
-10.75637, -5.142653, 0.3272249, True
-9.632929, -5.170848, 1.520359, False
-8.418085, -4.576624, 0.7844127, True
-7.840929, -5.446726, 0.9038276, True
-7.306599, -6.127181, 0.4265212, True
-6.866383, -6.603826, 0.4711404, True
-6.488106, -7.993998, 2.010296, False
-5.39217, -9.180627, 0.8202854, False
-4.619784, -9.893153, 0.8814031, False
-3.533705, -9.92041, 0.8914384, False
-2.577573, -9.867856, 0.6237134, False
-3.252439, -11.00828, 1.026586, False
-3.415055, -12.21153, 1.001774, False
-2.867224, -13.41979, 1.251547, False
-1.621858, -13.86748, 0.9952353, False
-0.4404088, -13.70712, 0.9893302, False
0.2619501, -12.89961, 0.7511188, False
1.281723, -13.69944, 1.440917, False
2.518176, -13.21285, 0.8165824, False
3.336626, -12.41137, 1.074479, False
3.249128, -11.37405, 0.6075312, False
3.401788, -10.73884, 0.2990605, False
4.396375, -11.39774, 1.28703, False
5.966466, -10.92079, 1.594841, False
7.756497, -10.8224, 1.590623, False
9.375343, -10.86303, 1.24809, False
10.5042, -10.19413, 0.9762159, False
10.92975, -9.368398, 0.4816537, False
11.43837, -8.783635, 0.668364, False
11.50209, -7.94514, 0.6134624, False
12.25028, -7.579172, 0.6523387, False
13.10036, -7.07546, 0.9238792, False
13.16605, -6.211153, 0.4097209, False
13.31637, -5.254455, 1.127153, False
13.4296, -3.764653, 1.461043, False
13.42272, -2.107249, 1.453792, False
15.59364, -1.252925, 2.81215, False
14.50282, 0.4709716, 0.8678992, False
13.82131, 1.127366, 0.6245131, False
13.81755, 2.034923, 0.7906177, False
13.00946, 2.948574, 1.248865, False
11.94453, 3.262445, 0.5715787, True
12.18374, 4.257788, 1.075789, True
11.6413, 4.980048, 0.3307582, True
