Axon X, Axon Y, Axon D, Axon Dies
7.125397, -4.135963, 1.083797, False
7.32297, -3.090225, 0.6446804, False
8.21329, -2.128272, 1.576787, False
8.247966, -0.8312025, 0.6182793, False
8.09647, -0.1316838, 0.4131919, False
0.4888616, 9.284185, 3.381534, False
-1.719659, 8.169913, 1.130245, False
-4.027381, -7.439691, 0.6897305, False
-3.854933, -8.327948, 0.7199538, False
-3.404443, -9.305667, 1.033068, False
-2.353595, -9.773709, 0.8676664, True
-1.283491, -9.880009, 0.8830752, True
0.1428233, -9.559564, 1.640661, False
0.4617984, -8.195867, 0.7603486, False
2.652731, -7.847155, 0.8390831, False
3.591856, -7.380693, 0.8580988, False
4.23034, -8.766424, 1.793401, False
5.727291, -8.915124, 0.8152351, False
7.072837, -9.048784, 1.489102, False
7.83672, -8.00062, 0.7048637, False
8.364216, -7.139829, 0.9142581, False
8.218299, -6.290979, 0.4083407, False
8.375533, -5.249017, 1.299177, False
8.099493, -4.169024, 0.5302482, False
9.023574, -3.507909, 1.342193, False
9.663732, -2.246983, 1.086048, False
9.165505, -1.10142, 1.012387, False
9.04403, 0.241151, 1.283723, False
8.689102, 1.629788, 1.182834, False
8.586992, 2.758338, 0.6834852, False
8.102043, 3.666993, 0.9764457, False
7.08782, 3.873149, 0.6934816, False
6.71783, 4.566403, 0.4781331, False
6.525982, 5.316999, 0.6713174, False
5.819257, 5.889137, 0.7472557, False
4.382754, 7.242897, 1.769138, False
3.18381, 8.819224, 1.79181, False
2.546933, 10.01255, 0.5134682, False
2.281106, 11.05258, 1.233469, False
1.171816, 11.4708, 0.7375492, False
0.150167, 11.59454, 0.9206824, False
-0.6891519, 11.11456, 0.6130632, False
-1.918482, 10.53659, 1.703771, False
-3.090755, 8.998709, 1.763687, False
-4.24509, 8.066222, 0.8041541, False
-4.522133, 7.260808, 0.4993077, False
-4.687179, 6.617908, 0.428187, False
-6.062924, 6.223084, 2.03437, False
-7.29494, 4.850016, 1.255172, False
-7.593003, 3.68898, 0.7421992, False
-7.876986, -3.094243, 1.844804, False
-6.755738, -4.208046, 0.9160517, False
-6.224228, -4.938982, 0.4914545, False
-5.184063, -6.624475, 0.8939893, False
-5.201683, -8.185076, 1.827409, False
-4.374694, -9.322355, 0.5849299, False
-4.17044, -10.68569, 1.772164, False
-2.634464, -10.78112, 0.9057106, True
-1.660794, -10.76364, 0.6419441, True
-0.9190637, -10.63023, 0.4653189, True
-0.02297473, -11.0765, 1.13681, False
0.732163, -10.49289, 0.3719397, True
1.445075, -10.02789, 0.9303793, True
3.374929, -11.41165, 3.418995, False
5.036488, -9.90068, 0.6726885, False
5.684422, -9.612913, 0.3452385, False
6.311403, -10.85113, 2.030571, False
8.622974, -10.43538, 2.266754, False
9.013482, -8.435231, 1.409063, False
9.726267, -6.892536, 1.589743, False
9.458534, -5.618901, 0.6131984, False
9.417713, -4.754532, 0.7174664, False
10.16623, -4.07385, 0.9060088, False
10.54779, -3.037646, 0.9024337, False
10.91654, -1.719716, 1.434656, False
10.82795, 0.1561977, 1.921352, False
10.25372, 2.100344, 1.733, False
9.421146, 3.530476, 1.176654, False
8.711642, 5.375052, 2.375995, False
7.040099, 6.252899, 1.000073, False
6.204357, 6.533177, 0.362902, False
5.581017, 6.636058, 0.5006433, False
5.509261, 7.197167, 0.2307146, False
6.344566, 8.680654, 2.774261, False
4.513509, 9.294725, 0.688305, False
3.936882, 9.804137, 0.4505244, False
3.717355, 10.84846, 1.28376, False
3.137132, 12.05824, 0.9997066, False
2.331492, 11.93118, 0.2314919, False
1.369621, 13.58341, 3.192153, False
-0.4540466, 12.44908, 0.7031769, False
-0.8762953, 11.73554, 0.5550554, False
-1.419822, 11.50802, 0.2233969, False
-1.980131, 11.86211, 0.7022347, False
-3.254726, 11.66108, 1.478467, False
-3.222988, 10.42496, 0.5945836, False
-4.026863, 10.08846, 0.7483438, False
-4.61272, 9.257931, 0.8843891, False
-5.106389, 8.423701, 0.6543198, False
-5.775497, 7.73964, 0.8594688, False
-6.695872, 7.517883, 0.6339574, False
-7.411626, 6.988918, 0.7460511, False
-7.621946, 6.022727, 0.8315831, False
-8.47323, 5.281429, 1.026034, False
-8.205653, 4.298079, 0.6121783, False
-8.484172, 3.379307, 0.9079397, False
-8.745674, 2.51667, 0.4948649, False
-8.642724, 1.546055, 1.057255, False
-7.807848, 0.8912458, 0.6648123, False
-7.914575, 0.1015442, 0.5289496, False
-8.328478, -1.645489, 0.94997, False
-8.865885, -2.290891, 0.329732, False
-9.392348, -2.923151, 0.9157676, False
-9.003621, -3.625202, 0.289205, False
-8.731361, -4.381191, 0.9178352, False
-7.646035, -4.771349, 0.9888127, False
-6.845859, -5.398943, 0.6450562, False
-6.807405, -6.896645, 1.951335, False
-6.547165, -8.282101, 0.4680362, False
-6.288947, -8.999101, 0.6561233, False
-5.658267, -9.949892, 1.225773, False
-5.868468, -11.50524, 1.513205, False
-4.445965, -12.44763, 1.499487, False
-3.413017, -11.83556, 0.5018545, True
-2.537134, -11.78742, 0.8525563, True
-1.673044, -11.52493, 0.5536016, True
-0.6960945, -12.76905, 2.210105, False
0.9507612, -11.96351, 1.056514, True
1.661728, -12.86891, 0.8458486, True
2.448768, -13.3041, 0.5528434, True
3.315796, -13.78352, 1.028653, True
4.15554, -13.37277, 0.4409816, True
5.178152, -13.14955, 1.252402, True
6.480381, -12.63708, 1.14647, True
7.468903, -11.93892, 0.873953, True
8.429204, -12.04021, 0.657304, True
9.094255, -11.77849, 0.3720877, True
9.839863, -11.552, 0.7864131, True
11.1206, -10.2978, 2.398723, False
9.797867, -9.379946, 0.4212747, False
10.41053, -8.549932, 1.042006, False
11.17407, -7.515519, 1.129377, False
11.16806, -6.067328, 1.367028, False
11.2794, -4.602338, 1.171403, False
11.57103, -3.388886, 0.924603, False
12.94652, -2.041902, 2.525774, False
12.6104, -0.01272154, 1.187884, False
12.13073, 1.41486, 1.424145, False
11.68177, 2.751009, 0.9949732, False
10.7646, 3.634378, 1.15182, False
10.10321, 4.515015, 0.6508664, False
