Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4076, 5, 4078, 4, 4072, 8, 2.766315, 2.120449
51, 4076, 5, 4078, 4, 4072, 8, 2.766315, 2.120449
101, 4075, 6, 4078, 4, 4072, 8, 2.76413, 2.927897
151, 4074, 7, 4076, 6, 4072, 8, 2.764248, 2.835673
201, 4074, 7, 4075, 7, 4072, 8, 2.763395, 2.93743
251, 4073, 8, 4073, 9, 4071, 9, 2.763929, 2.657125
301, 4072, 9, 4072, 10, 4071, 9, 2.764252, 2.53613
351, 4072, 9, 4070, 12, 4071, 9, 2.765214, 2.247878
401, 4072, 9, 4069, 13, 4068, 12, 2.764752, 2.432298
451, 4071, 10, 4069, 13, 4068, 12, 2.763312, 3.195562
501, 4071, 10, 4069, 13, 4068, 12, 2.763312, 3.195562
551, 4071, 10, 4067, 15, 4067, 13, 2.765311, 2.324979
601, 4071, 10, 4067, 15, 4067, 13, 2.765311, 2.324979
651, 4069, 12, 4066, 16, 4065, 15, 2.762816, 3.291534
701, 4067, 14, 4066, 16, 4065, 15, 2.763947, 2.887516
751, 4067, 14, 4066, 16, 4063, 17, 2.766026, 2.531513
801, 4067, 14, 4065, 17, 4063, 17, 2.764458, 2.580841
851, 4066, 15, 4064, 18, 4063, 17, 2.763487, 3.003994
901, 4066, 15, 4064, 18, 4062, 18, 2.765904, 2.571866
951, 4065, 16, 4062, 20, 4062, 18, 2.763326, 3.029835
1001, 4065, 16, 4061, 21, 4060, 20, 2.766021, 2.567726
1051, 4065, 16, 4059, 23, 4060, 20, 2.766296, 2.304328
1101, 4063, 18, 4059, 23, 4059, 21, 2.76582, 2.615979
1151, 4062, 19, 4059, 23, 4055, 25, 2.767235, 2.410408
1201, 4061, 20, 4057, 25, 4055, 25, 2.765342, 2.49618
1251, 4061, 20, 4056, 26, 4054, 26, 2.766873, 2.480543
1301, 4061, 20, 4055, 27, 4053, 27, 2.767085, 2.45927
1351, 4060, 21, 4053, 29, 4053, 27, 2.761767, 3.267735
1401, 4060, 21, 4053, 29, 4053, 27, 2.761767, 3.267735
1451, 4060, 21, 4050, 32, 4053, 27, 2.767969, 2.222496
1501, 4060, 21, 4050, 32, 4053, 27, 2.767969, 2.222496
1551, 4060, 21, 4050, 32, 4053, 27, 2.767969, 2.222496
1601, 4059, 22, 4050, 32, 4053, 27, 2.761673, 3.261996
1651, 4059, 22, 4050, 32, 4053, 27, 2.761673, 3.261996
1701, 4059, 22, 4050, 32, 4052, 28, 2.766119, 2.610026
1751, 4059, 22, 4050, 32, 4052, 28, 2.766119, 2.610026
1801, 4059, 22, 4050, 32, 4052, 28, 2.766119, 2.610026
1851, 4059, 22, 4050, 32, 4051, 29, 2.766558, 2.554103
