Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4032, 28, 4058, 22, 4025, 17, 2.780341, 2.046347
51, 4028, 32, 4058, 22, 4025, 17, 2.782726, 1.837881
101, 4025, 35, 4057, 23, 4025, 17, 2.762263, 2.657991
151, 4022, 38, 4054, 26, 4025, 17, 2.785333, 1.711111
201, 4020, 40, 4051, 29, 4024, 18, 2.764196, 2.409487
251, 4018, 42, 4048, 32, 4024, 18, 2.765332, 2.29903
301, 4014, 46, 4045, 35, 4021, 21, 2.786926, 1.758959
351, 4014, 46, 4044, 36, 4021, 21, 2.766037, 2.271632
401, 4014, 46, 4044, 36, 4020, 22, 2.782294, 3.764174
451, 4014, 46, 4042, 38, 4018, 24, 2.766234, 2.276762
501, 4011, 49, 4042, 38, 4017, 25, 2.786934, 1.821242
551, 4007, 53, 4039, 41, 4014, 28, 2.787621, 1.842218
601, 4005, 55, 4037, 43, 4011, 31, 2.765265, 2.424691
651, 4002, 58, 4035, 45, 4011, 31, 2.76588, 2.384745
701, 3999, 61, 4031, 49, 4011, 31, 2.767422, 2.288962
751, 3999, 61, 4027, 53, 4011, 31, 2.76933, 2.180133
801, 3996, 64, 4024, 56, 4011, 31, 2.770296, 2.14228
851, 3996, 64, 4023, 57, 4011, 31, 2.77078, 2.119134
901, 3993, 67, 4019, 61, 4011, 31, 2.772212, 2.067528
951, 3991, 69, 4018, 62, 4011, 31, 2.791244, 1.851942
1001, 3989, 71, 4018, 62, 4009, 33, 2.777791, 3.984079
1051, 3989, 71, 4014, 66, 4008, 34, 2.77736, 3.999402
1101, 3985, 75, 4013, 67, 4008, 34, 2.792646, 1.852569
1151, 3984, 76, 4011, 69, 4007, 35, 2.792432, 1.876173
1201, 3983, 77, 4008, 72, 4006, 36, 2.774683, 2.037642
1251, 3981, 79, 4005, 75, 4005, 37, 2.792242, 1.920576
1301, 3978, 82, 4004, 76, 4003, 39, 2.774976, 2.061018
1351, 3977, 83, 4002, 78, 4003, 39, 2.775808, 2.036618
1401, 3974, 86, 4000, 80, 4001, 41, 2.775124, 4.009045
1451, 3971, 89, 3998, 82, 4001, 41, 2.795309, 1.881664
1501, 3967, 93, 3995, 85, 3998, 44, 2.796149, 1.885099
1551, 3966, 94, 3992, 88, 3997, 45, 2.77418, 3.983177
1601, 3964, 96, 3990, 90, 3996, 46, 2.796371, 1.904425
1651, 3962, 98, 3986, 94, 3994, 48, 2.773786, 3.940365
1701, 3961, 99, 3983, 97, 3992, 50, 2.773939, 3.881551
1751, 3959, 101, 3979, 101, 3992, 50, 2.796051, 1.961118
1801, 3958, 102, 3974, 106, 3989, 53, 2.78364, 1.938239
1851, 3957, 103, 3969, 111, 3987, 55, 2.785422, 1.912592
1901, 3956, 104, 3967, 113, 3986, 56, 2.793731, 2.073453
1951, 3953, 107, 3966, 114, 3986, 56, 2.785968, 1.916563
2001, 3952, 108, 3963, 117, 3983, 59, 2.7865, 1.920836
2051, 3948, 112, 3961, 119, 3982, 60, 2.786622, 1.931335
2101, 3945, 115, 3959, 121, 3977, 65, 2.795703, 2.074681
2151, 3941, 119, 3956, 124, 3976, 66, 2.797178, 2.050065
2201, 3934, 126, 3952, 128, 3974, 68, 2.799784, 2.010224
2251, 3927, 133, 3951, 129, 3972, 70, 2.803072, 1.954712
2301, 3925, 135, 3946, 134, 3970, 72, 2.78773, 1.994427
2351, 3922, 138, 3934, 146, 3969, 73, 2.793224, 1.911604
2401, 3920, 140, 3930, 150, 3969, 73, 2.795027, 1.887875
2451, 3916, 144, 3926, 154, 3963, 79, 2.768748, 3.735302
2501, 3913, 147, 3921, 159, 3957, 85, 2.769784, 3.618836
2551, 3909, 151, 3918, 162, 3954, 88, 2.795454, 1.944744
2601, 3907, 153, 3915, 165, 3952, 90, 2.770009, 3.561791
2651, 3905, 155, 3910, 170, 3950, 92, 2.801484, 2.115111
2701, 3903, 157, 3905, 175, 3950, 92, 2.801668, 2.119274
2751, 3895, 165, 3901, 179, 3949, 93, 2.805115, 2.07101
2801, 3891, 169, 3899, 181, 3944, 98, 2.767849, 3.584104
2851, 3888, 172, 3898, 182, 3941, 101, 2.806256, 2.075101
2901, 3886, 174, 3895, 185, 3940, 102, 2.767954, 3.548065
2951, 3886, 174, 3893, 187, 3936, 106, 2.799899, 1.965958
3001, 3880, 180, 3891, 189, 3932, 110, 2.806843, 2.094939
3051, 3874, 186, 3888, 192, 3932, 110, 2.809627, 2.059919
3101, 3872, 188, 3884, 196, 3932, 110, 2.809996, 2.06028
3151, 3869, 191, 3878, 202, 3931, 111, 2.810275, 2.066396
3201, 3866, 194, 3875, 205, 3931, 111, 2.804829, 1.945963
3251, 3865, 195, 3869, 211, 3928, 114, 2.806915, 1.932142
3301, 3863, 197, 3865, 215, 3927, 115, 2.808465, 1.920541
3351, 3859, 201, 3863, 217, 3925, 117, 2.811398, 2.081847
3401, 3858, 202, 3860, 220, 3922, 120, 2.809001, 1.931325
3451, 3855, 205, 3856, 224, 3919, 123, 2.810544, 2.112137
3501, 3850, 210, 3852, 228, 3915, 127, 2.810078, 1.94393
3551, 3845, 215, 3846, 234, 3913, 129, 2.763747, 3.512341
3601, 3844, 216, 3843, 237, 3909, 133, 2.764567, 3.46575
3651, 3837, 223, 3839, 241, 3907, 135, 2.813955, 2.109836
3701, 3834, 226, 3831, 249, 3906, 136, 2.813675, 2.123928
3751, 3828, 232, 3826, 254, 3903, 139, 2.816854, 1.930526
3801, 3827, 233, 3822, 258, 3901, 141, 2.761174, 3.519833
3851, 3822, 238, 3821, 259, 3896, 146, 2.815796, 2.124635
3901, 3818, 242, 3815, 265, 3895, 147, 2.818893, 1.937958
3951, 3813, 247, 3808, 272, 3894, 148, 2.759165, 3.536792
4001, 3808, 252, 3803, 277, 3891, 151, 2.818744, 2.118472
4051, 3807, 253, 3799, 281, 3889, 153, 2.82381, 1.921636
4101, 3804, 256, 3796, 284, 3888, 154, 2.818752, 2.129296
4151, 3803, 257, 3789, 291, 3887, 155, 2.827967, 1.898505
4201, 3798, 262, 3781, 299, 3886, 156, 2.831246, 1.881912
4251, 3793, 267, 3778, 302, 3885, 157, 2.831852, 1.883749
4301, 3786, 274, 3772, 308, 3883, 159, 2.75241, 3.64795
4351, 3780, 280, 3767, 313, 3879, 163, 2.8341, 1.890021
4401, 3775, 285, 3763, 317, 3878, 164, 2.751277, 3.647429
4451, 3771, 289, 3757, 323, 3876, 166, 2.837305, 1.881969
4501, 3764, 296, 3751, 329, 3873, 169, 2.828651, 2.096575
4551, 3755, 305, 3745, 335, 3872, 170, 2.83269, 2.068453
4601, 3747, 313, 3739, 341, 3871, 171, 2.835927, 2.049229
4651, 3742, 318, 3731, 349, 3868, 174, 2.836173, 2.058713
4701, 3740, 320, 3729, 351, 3868, 174, 2.836945, 2.054544
4751, 3740, 320, 3724, 356, 3866, 176, 2.847458, 1.864317
4801, 3738, 322, 3717, 363, 3864, 178, 2.8344, 2.088959
4851, 3734, 326, 3713, 367, 3860, 182, 2.83485, 2.09296
4901, 3728, 332, 3711, 369, 3856, 186, 2.836952, 2.082764
4951, 3723, 337, 3706, 374, 3856, 186, 2.851908, 1.86755
5001, 3714, 346, 3703, 377, 3853, 189, 2.842913, 2.04929
5051, 3708, 352, 3699, 381, 3850, 192, 2.845001, 2.040821
5101, 3707, 353, 3694, 386, 3848, 194, 2.739742, 3.737667
5151, 3701, 359, 3690, 390, 3842, 200, 2.844898, 2.057552
5201, 3693, 367, 3682, 398, 3839, 203, 2.847196, 2.051588
5251, 3685, 375, 3677, 403, 3837, 205, 2.850783, 2.033317
5301, 3678, 382, 3671, 409, 3834, 208, 2.853157, 2.025437
5351, 3675, 385, 3666, 414, 3830, 212, 2.737297, 3.69708
5401, 3668, 392, 3661, 419, 3826, 216, 2.854965, 2.029644
5451, 3663, 397, 3654, 426, 3825, 217, 2.863178, 1.891032
5501, 3656, 404, 3645, 435, 3822, 220, 2.73347, 3.728687
5551, 3650, 410, 3641, 439, 3821, 221, 2.867228, 1.886236
5601, 3648, 412, 3633, 447, 3820, 222, 2.859451, 2.029997
5651, 3642, 418, 3633, 447, 3817, 225, 2.731053, 3.747584
5701, 3639, 421, 3629, 451, 3814, 228, 2.87042, 1.886658
5751, 3634, 426, 3622, 458, 3813, 229, 2.873364, 1.878411
5801, 3626, 434, 3619, 461, 3809, 233, 2.729363, 3.740317
5851, 3622, 438, 3618, 462, 3805, 237, 2.730367, 3.70713
5901, 3618, 442, 3616, 464, 3805, 237, 2.871971, 1.902133
5951, 3614, 446, 3609, 471, 3805, 237, 2.875428, 1.890064
6001, 3608, 452, 3604, 476, 3800, 242, 2.872503, 1.999229
6051, 3604, 456, 3600, 480, 3797, 245, 2.876563, 1.900033
6101, 3595, 465, 3596, 484, 3795, 247, 2.877817, 1.982552
6151, 3592, 468, 3594, 486, 3791, 251, 2.877988, 1.986979
6201, 3588, 472, 3587, 493, 3789, 253, 2.725652, 3.715992
6251, 3582, 478, 3586, 494, 3788, 254, 2.881683, 1.97793
6301, 3578, 482, 3581, 499, 3786, 256, 2.724236, 3.72532
6351, 3573, 487, 3573, 507, 3783, 259, 2.88322, 1.905116
6401, 3570, 490, 3567, 513, 3779, 263, 2.723355, 3.711345
6451, 3565, 495, 3562, 518, 3774, 268, 2.88331, 1.997257
6501, 3561, 499, 3551, 529, 3773, 269, 2.891182, 1.892352
6551, 3555, 505, 3546, 534, 3770, 272, 2.884789, 2.004394
6601, 3550, 510, 3538, 542, 3767, 275, 2.719286, 3.723969
6651, 3541, 519, 3533, 547, 3765, 277, 2.889691, 1.994692
6701, 3534, 526, 3523, 557, 3760, 282, 2.899432, 1.890381
6751, 3525, 535, 3518, 562, 3759, 283, 2.900928, 1.889992
6801, 3523, 537, 3514, 566, 3756, 286, 2.71503, 3.74122
6851, 3518, 542, 3504, 576, 3750, 292, 2.714575, 3.725976
6901, 3509, 551, 3502, 578, 3748, 294, 2.898449, 1.990896
6951, 3506, 554, 3494, 586, 3744, 298, 2.713216, 3.722689
7001, 3500, 560, 3490, 590, 3742, 300, 2.899892, 1.996459
7051, 3490, 570, 3485, 595, 3739, 303, 2.904658, 1.983131
7101, 3485, 575, 3480, 600, 3735, 307, 2.711424, 3.714892
7151, 3475, 585, 3475, 605, 3730, 312, 2.909822, 1.910755
7201, 3466, 594, 3473, 607, 3725, 317, 2.711251, 3.68526
7251, 3457, 603, 3469, 611, 3722, 320, 2.918242, 1.95568
7301, 3455, 605, 3467, 613, 3716, 326, 2.917238, 1.964593
7351, 3449, 611, 3461, 619, 3711, 331, 2.908149, 1.942702
7401, 3443, 617, 3453, 627, 3710, 332, 2.911834, 1.934728
7451, 3436, 624, 3450, 630, 3707, 335, 2.709832, 3.648628
7501, 3433, 627, 3444, 636, 3704, 338, 2.709306, 3.646064
7551, 3425, 635, 3436, 644, 3703, 339, 2.917343, 1.931131
7601, 3413, 647, 3432, 648, 3701, 341, 2.933621, 1.940016
7651, 3406, 654, 3425, 655, 3699, 343, 2.919877, 1.934442
7701, 3398, 662, 3412, 668, 3692, 350, 2.924453, 1.930246
7751, 3394, 666, 3407, 673, 3688, 354, 2.925646, 1.931595
7801, 3377, 683, 3397, 683, 3687, 355, 2.946041, 1.930976
7851, 3371, 689, 3389, 691, 3682, 360, 2.931001, 1.93122
7901, 3355, 705, 3383, 697, 3680, 362, 2.956337, 1.913651
7951, 3346, 714, 3372, 708, 3678, 364, 2.936809, 1.927564
8001, 3338, 722, 3366, 714, 3672, 370, 2.962011, 1.911969
8051, 3332, 728, 3359, 721, 3667, 375, 2.962949, 1.916329
8101, 3321, 739, 3349, 731, 3663, 379, 2.966974, 1.91382
8151, 3311, 749, 3338, 742, 3659, 383, 2.94633, 1.930976
8201, 3307, 753, 3326, 754, 3655, 387, 2.686279, 3.744915
8251, 3285, 775, 3315, 765, 3648, 394, 2.980287, 1.906307
8301, 3269, 791, 3302, 778, 3644, 398, 2.957757, 1.92946
8351, 3243, 817, 3286, 794, 3635, 407, 3.000265, 1.882219
8401, 3229, 831, 3272, 808, 3632, 410, 2.67318, 3.801574
8451, 3213, 847, 3260, 820, 3629, 413, 2.971526, 1.927392
8501, 3200, 860, 3248, 832, 3619, 423, 2.669212, 3.800843
8551, 3186, 874, 3232, 848, 3611, 431, 2.667008, 3.798304
8601, 3172, 888, 3217, 863, 3603, 439, 2.984589, 1.930722
8651, 3162, 898, 3206, 874, 3592, 450, 3.02798, 1.885482
8701, 3143, 917, 3191, 889, 3585, 457, 2.66246, 3.76962
8751, 3126, 934, 3177, 903, 3580, 462, 2.659118, 3.783532
8801, 3108, 952, 3161, 919, 3573, 469, 3.053284, 1.867679
8851, 3092, 968, 3146, 934, 3562, 480, 3.005863, 1.939179
8901, 3079, 981, 3131, 949, 3557, 485, 3.012375, 1.934553
8951, 3059, 1001, 3122, 958, 3551, 491, 3.075621, 1.857458
9001, 3047, 1013, 3108, 972, 3544, 498, 3.079212, 1.861086
9051, 3039, 1021, 3100, 980, 3539, 503, 3.082023, 1.86226
9101, 3028, 1032, 3090, 990, 3529, 513, 3.022769, 1.946743
9151, 3016, 1044, 3074, 1006, 3516, 526, 3.027287, 1.950052
9201, 3005, 1055, 3067, 1013, 3508, 534, 3.090056, 1.878687
9251, 2986, 1074, 3055, 1025, 3498, 544, 3.099058, 1.87509
9301, 2978, 1082, 3044, 1036, 3492, 550, 3.100463, 1.880273
9351, 2971, 1089, 3022, 1058, 3484, 558, 2.641344, 3.701063
9401, 2957, 1103, 3009, 1071, 3479, 563, 3.050526, 1.950143
9451, 2944, 1116, 2996, 1084, 3467, 575, 2.638422, 3.687347
9501, 2934, 1126, 2986, 1094, 3462, 580, 3.05712, 1.955279
9551, 2924, 1136, 2978, 1102, 3457, 585, 3.115892, 1.898563
9601, 2914, 1146, 2965, 1115, 3445, 597, 3.063097, 1.960139
9651, 2906, 1154, 2951, 1129, 3437, 605, 3.069277, 1.95766
9701, 2897, 1163, 2939, 1141, 3433, 609, 3.119576, 1.917647
9751, 2886, 1174, 2926, 1154, 3429, 613, 3.124299, 1.917298
9801, 2877, 1183, 2913, 1167, 3425, 617, 3.088562, 1.945723
9851, 2864, 1196, 2903, 1177, 3418, 624, 2.625859, 3.673805
9901, 2855, 1205, 2892, 1188, 3411, 631, 2.625123, 3.666158
9951, 2844, 1216, 2878, 1202, 3407, 635, 3.140757, 1.920497
10001, 2832, 1228, 2871, 1209, 3400, 642, 3.104307, 1.948033
10051, 2818, 1242, 2855, 1225, 3395, 647, 3.112525, 1.943982
10101, 2807, 1253, 2842, 1238, 3391, 651, 3.11931, 1.940676
10151, 2796, 1264, 2830, 1250, 3383, 659, 2.613092, 3.683685
10201, 2777, 1283, 2819, 1261, 3379, 663, 3.17492, 1.910277
10251, 2767, 1293, 2808, 1272, 3370, 672, 3.177297, 1.914971
10301, 2751, 1309, 2788, 1292, 3363, 679, 3.142158, 1.940638
10351, 2732, 1328, 2770, 1310, 3353, 689, 3.193686, 1.914528
10401, 2719, 1341, 2752, 1328, 3348, 694, 3.199055, 1.916044
10451, 2703, 1357, 2736, 1344, 3341, 701, 3.168385, 1.93374
10501, 2694, 1366, 2714, 1366, 3336, 706, 3.183867, 1.922861
10551, 2680, 1380, 2699, 1381, 3330, 712, 2.587111, 3.72551
10601, 2667, 1393, 2682, 1398, 3321, 721, 3.200744, 1.919348
10651, 2642, 1418, 2670, 1410, 3310, 732, 3.235775, 1.917299
10701, 2625, 1435, 2656, 1424, 3303, 739, 2.57962, 3.717407
10751, 2610, 1450, 2642, 1438, 3295, 747, 3.253999, 1.913593
10801, 2597, 1463, 2628, 1452, 3285, 757, 3.220372, 1.931479
10851, 2582, 1478, 2617, 1463, 3279, 763, 3.268877, 1.912994
10901, 2573, 1487, 2592, 1488, 3273, 769, 3.26755, 1.923497
10951, 2560, 1500, 2581, 1499, 3267, 775, 3.248924, 1.92273
11001, 2546, 1514, 2566, 1514, 3258, 784, 3.281439, 1.92411
11051, 2527, 1533, 2549, 1531, 3244, 798, 3.290338, 1.926263
11101, 2511, 1549, 2536, 1544, 3237, 805, 3.268154, 1.929798
11151, 2492, 1568, 2521, 1559, 3228, 814, 2.557622, 3.699802
11201, 2476, 1584, 2504, 1576, 3223, 819, 3.286058, 1.928525
11251, 2460, 1600, 2493, 1587, 3210, 832, 3.287693, 1.935366
11301, 2441, 1619, 2476, 1604, 3203, 839, 3.344633, 1.916858
11351, 2429, 1631, 2456, 1624, 3195, 847, 3.348085, 1.922222
11401, 2406, 1654, 2444, 1636, 3186, 856, 3.367131, 1.914345
11451, 2393, 1667, 2429, 1651, 3173, 869, 3.321986, 1.937334
11501, 2378, 1682, 2418, 1662, 3161, 881, 3.380806, 1.919196
11551, 2363, 1697, 2403, 1677, 3151, 891, 3.38905, 1.920635
11601, 2343, 1717, 2389, 1691, 3139, 903, 2.540041, 3.648345
11651, 2334, 1726, 2376, 1704, 3128, 914, 3.404597, 1.924285
11701, 2318, 1742, 2362, 1718, 3119, 923, 2.538098, 3.630898
11751, 2305, 1755, 2353, 1727, 3106, 936, 3.421731, 1.926244
11801, 2294, 1766, 2341, 1739, 3093, 949, 2.540377, 3.593531
11851, 2272, 1788, 2327, 1753, 3085, 957, 3.362755, 1.963786
11901, 2261, 1799, 2304, 1776, 3071, 971, 3.378297, 1.961741
11951, 2245, 1815, 2283, 1797, 3066, 976, 3.395924, 1.955901
12001, 2224, 1836, 2262, 1818, 3053, 989, 3.466687, 1.937766
12051, 2207, 1853, 2247, 1833, 3045, 997, 3.479579, 1.93644
12101, 2187, 1873, 2232, 1848, 3037, 1005, 3.496575, 1.933071
12151, 2180, 1880, 2216, 1864, 3027, 1015, 3.437882, 1.957782
12201, 2163, 1897, 2203, 1877, 3022, 1020, 3.446576, 1.95783
12251, 2152, 1908, 2188, 1892, 3007, 1035, 3.454071, 1.960966
12301, 2119, 1941, 2174, 1906, 2999, 1043, 2.507299, 3.593735
12351, 2105, 1955, 2157, 1923, 2990, 1052, 3.47191, 1.965028
12401, 2091, 1969, 2140, 1940, 2983, 1059, 2.5005, 3.596473
12451, 2071, 1989, 2131, 1949, 2976, 1066, 3.589083, 1.927938
12501, 2059, 2001, 2117, 1963, 2963, 1079, 3.495466, 1.97033
12551, 2051, 2009, 2102, 1978, 2959, 1083, 3.597668, 1.93571
12601, 2041, 2019, 2089, 1991, 2954, 1088, 3.521322, 1.964651
12651, 2031, 2029, 2076, 2004, 2944, 1098, 3.529803, 1.965963
12701, 2022, 2038, 2065, 2015, 2940, 1102, 3.615061, 1.942103
12751, 2014, 2046, 2054, 2026, 2931, 1111, 3.546852, 1.965659
12801, 2007, 2053, 2042, 2038, 2923, 1119, 2.484408, 3.579746
12851, 1994, 2066, 2031, 2049, 2918, 1124, 3.631291, 1.949112
12901, 1988, 2072, 2022, 2058, 2911, 1131, 2.481068, 3.576721
12951, 1977, 2083, 2010, 2070, 2905, 1137, 3.64185, 1.95282
13001, 1963, 2097, 2000, 2080, 2902, 1140, 3.658442, 1.948563
13051, 1957, 2103, 1994, 2086, 2900, 1142, 3.664527, 1.947779
13101, 1947, 2113, 1987, 2093, 2891, 1151, 2.472876, 3.578257
13151, 1941, 2119, 1981, 2099, 2891, 1151, 3.679092, 1.9474
13201, 1935, 2125, 1974, 2106, 2882, 1160, 2.471433, 3.573265
13251, 1924, 2136, 1968, 2112, 2876, 1166, 3.692731, 1.948897
13301, 1916, 2144, 1960, 2120, 2873, 1169, 3.700546, 1.94842
13351, 1906, 2154, 1954, 2126, 2865, 1177, 3.619216, 1.973523
13401, 1901, 2159, 1945, 2135, 2857, 1185, 3.709977, 1.952289
13451, 1892, 2168, 1933, 2147, 2852, 1190, 3.717151, 1.953325
13501, 1886, 2174, 1922, 2158, 2844, 1198, 3.648244, 1.972073
13551, 1880, 2180, 1912, 2168, 2843, 1199, 3.722959, 1.958026
13601, 1872, 2188, 1907, 2173, 2838, 1204, 3.731625, 1.957065
13651, 1866, 2194, 1900, 2180, 2832, 1210, 3.735532, 1.958594
13701, 1859, 2201, 1894, 2186, 2823, 1219, 3.739503, 1.960892
13751, 1855, 2205, 1885, 2195, 2818, 1224, 3.680179, 1.972902
13801, 1845, 2215, 1880, 2200, 2811, 1231, 3.750695, 1.962811
13851, 1839, 2221, 1875, 2205, 2806, 1236, 2.461471, 3.528132
13901, 1829, 2231, 1864, 2216, 2802, 1240, 3.766432, 1.962732
13951, 1823, 2237, 1856, 2224, 2798, 1244, 3.770755, 1.964047
14001, 1819, 2241, 1849, 2231, 2792, 1250, 2.456711, 3.526816
14051, 1810, 2250, 1842, 2238, 2783, 1259, 2.45715, 3.518196
14101, 1807, 2253, 1831, 2249, 2782, 1260, 3.728631, 1.974448
14151, 1800, 2260, 1819, 2261, 2777, 1265, 3.782479, 1.973096
14201, 1793, 2267, 1811, 2269, 2772, 1270, 3.788802, 1.973682
14251, 1778, 2282, 1809, 2271, 2769, 1273, 2.449019, 3.524214
14301, 1770, 2290, 1803, 2277, 2767, 1275, 3.824834, 1.964062
14351, 1765, 2295, 1797, 2283, 2764, 1278, 3.760947, 1.975137
14401, 1762, 2298, 1787, 2293, 2762, 1280, 3.774997, 1.971975
14451, 1757, 2303, 1782, 2298, 2761, 1281, 3.83507, 1.966757
14501, 1753, 2307, 1777, 2303, 2757, 1285, 2.440022, 3.533477
14551, 1743, 2317, 1772, 2308, 2750, 1292, 3.849093, 1.967497
14601, 1738, 2322, 1765, 2315, 2748, 1294, 3.794887, 1.973945
14651, 1731, 2329, 1756, 2324, 2744, 1298, 3.805478, 1.972995
14701, 1726, 2334, 1750, 2330, 2740, 1302, 3.81156, 1.973145
14751, 1714, 2346, 1744, 2336, 2736, 1306, 3.815425, 1.974982
14801, 1710, 2350, 1741, 2339, 2732, 1310, 3.885661, 1.96731
14851, 1706, 2354, 1734, 2346, 2728, 1314, 3.887025, 1.969581
