Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4042, 18, 4071, 9, 4021, 21, 2.776069, 2.59796
51, 4042, 18, 4071, 9, 4021, 21, 2.776069, 2.59796
101, 4042, 18, 4070, 10, 4021, 21, 2.756795, 4.748102
151, 4041, 19, 4067, 13, 4020, 22, 2.790127, 2.332925
201, 4040, 20, 4066, 14, 4020, 22, 2.75828, 3.747741
251, 4038, 22, 4066, 14, 4019, 23, 2.789911, 2.390594
301, 4038, 22, 4064, 16, 4018, 24, 2.789861, 2.415616
351, 4038, 22, 4064, 16, 4018, 24, 2.789861, 2.415616
401, 4037, 23, 4064, 16, 4015, 27, 2.790935, 2.297429
451, 4036, 24, 4063, 17, 4014, 28, 2.790904, 2.319585
501, 4036, 24, 4061, 19, 4013, 29, 2.757909, 3.566602
551, 4035, 25, 4061, 19, 4011, 31, 2.77503, 2.815591
601, 4035, 25, 4061, 19, 4011, 31, 2.77503, 2.815591
651, 4035, 25, 4061, 19, 4010, 32, 2.792022, 2.238364
701, 4035, 25, 4060, 20, 4008, 34, 2.792669, 2.194612
751, 4033, 27, 4059, 21, 4007, 35, 2.756739, 3.715639
801, 4033, 27, 4059, 21, 4006, 36, 2.792944, 2.197249
851, 4032, 28, 4058, 22, 4005, 37, 2.756474, 3.720976
901, 4032, 28, 4056, 24, 4004, 38, 2.757157, 3.525266
951, 4032, 28, 4052, 28, 4003, 39, 2.758773, 3.181676
1001, 4031, 29, 4051, 29, 4002, 40, 2.792672, 2.283955
1051, 4026, 34, 4051, 29, 4000, 42, 2.774941, 2.81525
1101, 4025, 35, 4049, 31, 3999, 43, 2.758419, 3.186861
1151, 4024, 36, 4048, 32, 3998, 44, 2.793, 2.300461
1201, 4019, 41, 4046, 34, 3997, 45, 2.79232, 2.371773
1251, 4019, 41, 4046, 34, 3995, 47, 2.793109, 2.322602
1301, 4018, 42, 4045, 35, 3995, 47, 2.758206, 3.16257
1351, 4016, 44, 4045, 35, 3992, 50, 2.793684, 2.304896
1401, 4014, 46, 4045, 35, 3991, 51, 2.793872, 2.299785
1451, 4014, 46, 4043, 37, 3991, 51, 2.757493, 3.218592
1501, 4014, 46, 4043, 37, 3991, 51, 2.757493, 3.218592
1551, 4013, 47, 4043, 37, 3990, 52, 2.793663, 2.325365
1601, 4013, 47, 4040, 40, 3990, 52, 2.758456, 3.086793
1651, 4013, 47, 4040, 40, 3989, 53, 2.793427, 2.351973
1701, 4013, 47, 4040, 40, 3989, 53, 2.793427, 2.351973
1751, 4013, 47, 4039, 41, 3989, 53, 2.758611, 3.063481
1801, 4013, 47, 4038, 42, 3989, 53, 2.759086, 3.010623
1851, 4013, 47, 4038, 42, 3989, 53, 2.759086, 3.010623
1901, 4013, 47, 4037, 43, 3989, 53, 2.759529, 2.963126
1951, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2001, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2051, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2101, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2151, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2201, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2251, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2301, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2351, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2401, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2451, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2501, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2551, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2601, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2651, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2701, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2751, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2801, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2851, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2901, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
2951, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3001, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3051, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3101, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3151, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3201, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3251, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3301, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3351, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3401, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3451, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3501, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3551, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3601, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3651, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3701, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3751, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
3801, 4013, 47, 4037, 43, 3988, 54, 2.793066, 2.38683
