Axon X, Axon Y, Axon D, Axon Dies
8.061618, 2.08885, 0.6375848, True
8.094407, 3.315334, 1.416261, False
7.422306, 4.453836, 0.8279082, True
7.058647, 5.200398, 0.4329394, True
6.577879, 5.883478, 0.8376712, True
6.179862, 6.700575, 0.5800908, True
5.591503, 7.005013, 0.3448233, True
5.040247, 7.003628, 0.3576919, True
4.058022, 7.41601, 1.372872, True
2.639803, 7.602054, 0.909303, True
1.763612, 7.969919, 0.591261, True
0.8606197, 8.43716, 1.042168, True
-0.2704068, 8.616774, 0.8482312, True
-1.191967, 8.688328, 0.6004368, True
-2.287155, 8.508759, 1.219186, True
-3.115717, 7.888597, 0.4507083, True
-3.769911, 7.398945, 0.7835853, True
-4.498919, 6.644519, 0.914615, True
-2.574383, -7.553937, 0.4799611, True
-2.12884, -8.114274, 0.5518004, True
-1.350346, -8.538577, 0.8214294, True
-0.3980149, -8.242944, 0.7728961, True
2.780692, -8.573477, 2.20734, False
4.449977, -7.570578, 1.287436, True
4.731228, -6.368162, 0.7823055, True
6.190499, -5.762827, 1.322875, False
8.092385, -5.335537, 2.175713, False
7.619802, -3.956905, 0.3390499, True
8.670046, -1.728398, 0.528533, True
9.308552, -1.271592, 0.6416413, True
9.423584, -0.5092919, 0.5002204, True
9.24657, 0.1832658, 0.5294232, True
8.881249, 1.023241, 0.9025338, True
9.058133, 2.195417, 1.06836, True
9.419987, 3.325925, 0.9056547, True
8.84392, 3.874048, 0.2846817, True
8.657418, 4.958998, 1.517043, False
7.580791, 5.696415, 0.692868, True
7.452435, 7.115042, 1.755974, False
6.107006, 7.502706, 0.6443564, True
5.248947, 7.606633, 0.6843019, True
4.778428, 8.688491, 1.275195, True
3.645282, 8.45941, 0.6369451, True
2.681973, 8.736972, 0.9680529, True
1.696695, 8.856307, 0.6169037, True
1.087781, 9.273373, 0.4592006, True
0.2211886, 9.523067, 0.9444948, True
-1.0361, 9.778631, 1.221503, True
-2.328446, 9.727593, 0.9652046, True
-3.213542, 9.122735, 0.7788562, True
-3.163876, 8.401052, 0.2679223, True
-3.745043, 8.182645, 0.5737823, True
-4.346904, 7.838455, 0.4128729, True
-4.86769, 7.417758, 0.5260867, True
-5.389203, 6.836537, 0.6356987, True
-7.391924, 7.591596, 3.24496, False
-8.650671, 5.633394, 1.010789, True
-8.82268, 4.63906, 0.6074149, True
-9.005964, 3.57954, 1.143098, True
-8.1851, 2.450682, 1.248418, False
-8.475847, 0.769948, 1.762975, False
-8.006034, -0.7032157, 0.9295555, True
-8.356411, -1.721829, 0.8248224, True
-8.036864, -2.723813, 0.8785861, True
-8.235353, -3.871226, 1.050325, True
-7.460101, -4.937358, 1.186077, True
-6.328202, -5.192916, 0.734701, True
-5.984805, -6.269685, 1.1257, False
-4.824837, -6.435579, 0.8178414, False
-3.499071, -7.507297, 0.6231549, True
-3.127113, -8.67362, 1.425242, True
-1.962023, -9.375279, 0.8948773, True
-1.067514, -9.287378, 0.5027565, True
-0.1910519, -9.201251, 0.8586114, True
0.6900654, -9.185432, 0.5039073, True
1.453168, -9.645, 0.877696, True
2.476505, -10.37876, 1.240739, True
4.306824, -10.3459, 2.020489, False
5.164875, -8.822022, 1.077207, True
5.623146, -7.830177, 0.7079867, True
5.376844, -6.996282, 0.631031, True
6.209799, -6.91443, 0.6429024, True
7.290496, -6.981575, 1.122659, True
8.349706, -6.877489, 0.6059641, True
9.792826, -6.735678, 1.894178, False
9.517862, -5.427644, 0.3790656, True
9.603849, -4.668671, 0.7485907, True
8.935018, -3.975053, 0.7785234, True
9.297365, -2.991016, 0.9187361, True
9.649768, -2.033987, 0.720962, True
10.30624, -1.210166, 0.9858254, True
10.16105, -0.07478499, 0.9034281, True
9.670098, 0.6318523, 0.4174612, True
9.756265, 1.392409, 0.7133827, True
10.21865, 2.393158, 1.091428, True
10.34093, 3.472453, 0.6809716, True
10.03264, 4.516213, 1.095702, True
9.95603, 6.138387, 1.752261, False
8.845961, 7.11906, 0.8101535, True
8.516993, 8.232839, 1.112537, True
7.160436, 8.812115, 1.437586, False
6.000113, 8.326402, 0.6781774, True
