Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4039, 21, 4055, 25, 4027, 15, 2.776116, 2.614273
51, 4038, 22, 4055, 25, 4027, 15, 2.776722, 2.510477
101, 4036, 24, 4054, 26, 4027, 15, 2.765285, 2.198816
151, 4036, 24, 4052, 28, 4026, 16, 2.765979, 2.138861
201, 4035, 25, 4049, 31, 4026, 16, 2.767265, 2.031572
251, 4033, 27, 4048, 32, 4025, 17, 2.782973, 3.892186
301, 4030, 30, 4046, 34, 4022, 20, 2.777771, 2.440536
351, 4029, 31, 4045, 35, 4022, 20, 2.767159, 2.127903
401, 4028, 32, 4044, 36, 4021, 21, 2.783086, 3.659278
451, 4026, 34, 4043, 37, 4018, 24, 2.783795, 3.431116
501, 4026, 34, 4040, 40, 4016, 26, 2.767486, 2.174803
551, 4022, 38, 4039, 41, 4014, 28, 2.778522, 2.432015
601, 4022, 38, 4037, 43, 4014, 28, 2.767811, 2.185573
651, 4019, 41, 4033, 47, 4010, 32, 2.784209, 3.21726
701, 4018, 42, 4032, 48, 4009, 33, 2.768444, 2.193049
751, 4018, 42, 4031, 49, 4006, 36, 2.785375, 3.03937
801, 4017, 43, 4030, 50, 4005, 37, 2.785467, 3.022578
851, 4016, 44, 4029, 51, 4005, 37, 2.768525, 2.220439
901, 4016, 44, 4027, 53, 4005, 37, 2.769486, 2.168119
951, 4016, 44, 4027, 53, 4004, 38, 2.785102, 3.054786
1001, 4016, 44, 4026, 54, 4004, 38, 2.769712, 2.162426
1051, 4016, 44, 4026, 54, 4004, 38, 2.769712, 2.162426
1101, 4016, 44, 4024, 56, 4004, 38, 2.770616, 2.119189
1151, 4015, 45, 4023, 57, 4003, 39, 2.770688, 2.12552
1201, 4011, 49, 4021, 59, 4003, 39, 2.778045, 2.548854
1251, 4010, 50, 4019, 61, 4003, 39, 2.778151, 2.544955
1301, 4009, 51, 4018, 62, 4001, 41, 2.771718, 2.110821
1351, 4007, 53, 4014, 66, 4000, 42, 2.778044, 2.566267
1401, 4007, 53, 4013, 67, 3999, 43, 2.783162, 3.203916
1451, 4007, 53, 4012, 68, 3998, 44, 2.783374, 3.175121
1501, 4006, 54, 4010, 70, 3998, 44, 2.774485, 2.027865
1551, 4005, 55, 4009, 71, 3997, 45, 2.777376, 2.622596
1601, 4004, 56, 4008, 72, 3996, 46, 2.783038, 3.187295
1651, 4004, 56, 4008, 72, 3996, 46, 2.783038, 3.187295
1701, 4004, 56, 4006, 74, 3996, 46, 2.775708, 2.001998
1751, 4003, 57, 4006, 74, 3995, 47, 2.782945, 3.186611
1801, 4003, 57, 4005, 75, 3995, 47, 2.775779, 2.008557
1851, 4003, 57, 4005, 75, 3995, 47, 2.775779, 2.008557
1901, 4003, 57, 4004, 76, 3995, 47, 2.776235, 1.9946
1951, 4002, 58, 4003, 77, 3995, 47, 2.776595, 1.986061
2001, 4002, 58, 4002, 78, 3995, 47, 2.777115, 1.969469
2051, 4002, 58, 4002, 78, 3995, 47, 2.777115, 1.969469
2101, 4002, 58, 3999, 81, 3995, 47, 2.778648, 1.92374
2151, 4002, 58, 3998, 82, 3995, 47, 2.779165, 1.908947
2201, 4002, 58, 3998, 82, 3995, 47, 2.779165, 1.908947
