Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 16082, 97, 16241, 102, 16355, 52, 2.807896, 2.073258
51, 16080, 99, 16241, 102, 16355, 52, 2.808184, 2.041305
101, 16072, 107, 16236, 107, 16355, 52, 2.780681, 1.967748
151, 16062, 117, 16226, 117, 16352, 55, 2.809787, 1.939222
201, 16049, 130, 16218, 125, 16350, 57, 2.811064, 1.868747
251, 16040, 139, 16210, 133, 16349, 58, 2.811859, 1.837893
301, 16032, 147, 16204, 139, 16344, 63, 2.812304, 1.842405
351, 16023, 156, 16194, 149, 16340, 67, 2.783079, 1.936361
401, 16017, 162, 16183, 160, 16338, 69, 2.784058, 1.895532
451, 16003, 176, 16177, 166, 16337, 70, 2.814538, 1.799187
501, 15997, 182, 16169, 174, 16336, 71, 2.784995, 1.879939
551, 15989, 190, 16162, 181, 16330, 77, 2.785241, 1.893023
601, 15976, 203, 16155, 188, 16327, 80, 2.756155, 4.474494
651, 15966, 213, 16149, 194, 16323, 84, 2.817566, 1.74857
701, 15962, 217, 16136, 207, 16321, 86, 2.786966, 1.870661
751, 15954, 225, 16128, 215, 16319, 88, 2.787539, 1.861773
801, 15943, 236, 16127, 216, 16316, 91, 2.754767, 4.515718
851, 15939, 240, 16119, 224, 16313, 94, 2.754529, 4.50073
901, 15936, 243, 16109, 234, 16310, 97, 2.754215, 4.499529
951, 15926, 253, 16104, 239, 16304, 103, 2.788465, 1.892313
1001, 15920, 259, 16101, 242, 16299, 108, 2.754385, 4.296211
1051, 15910, 269, 16092, 251, 16295, 112, 2.820655, 1.788434
1101, 15900, 279, 16079, 264, 16291, 116, 2.789694, 1.902313
1151, 15891, 288, 16069, 274, 16284, 123, 2.79014, 1.908589
1201, 15875, 304, 16059, 284, 16282, 125, 2.752503, 4.33156
1251, 15865, 314, 16051, 292, 16277, 130, 2.791057, 1.912509
1301, 15851, 328, 16039, 304, 16272, 135, 2.791734, 1.911463
1351, 15840, 339, 16022, 321, 16269, 138, 2.750881, 4.37407
1401, 15827, 352, 16016, 327, 16260, 147, 2.826345, 1.775929
1451, 15821, 358, 16005, 338, 16256, 151, 2.793923, 1.896379
1501, 15816, 363, 15992, 351, 16248, 159, 2.750783, 4.169692
1551, 15802, 377, 15981, 362, 16241, 166, 2.79529, 1.895477
1601, 15791, 388, 15968, 375, 16237, 170, 2.827635, 1.820904
1651, 15776, 403, 15955, 388, 16232, 175, 2.82884, 1.811204
1701, 15764, 415, 15948, 395, 16224, 183, 2.749511, 4.096395
1751, 15755, 424, 15941, 402, 16215, 192, 2.749817, 4.007402
1801, 15743, 436, 15933, 410, 16207, 200, 2.830894, 1.814122
1851, 15730, 449, 15923, 420, 16199, 208, 2.831707, 1.815083
1901, 15716, 463, 15919, 424, 16192, 215, 2.833062, 1.79979
1951, 15707, 472, 15911, 432, 16188, 219, 2.797373, 1.964629
2001, 15699, 480, 15899, 444, 16184, 223, 2.833915, 1.808508
2051, 15690, 489, 15889, 454, 16180, 227, 2.834505, 1.808447
2101, 15685, 494, 15882, 461, 16168, 239, 2.749408, 3.787831
2151, 15679, 500, 15870, 473, 16163, 244, 2.833943, 1.84867
2201, 15667, 512, 15861, 482, 16160, 247, 2.800367, 1.952494
2251, 15649, 530, 15850, 493, 16151, 256, 2.748222, 3.793711
2301, 15638, 541, 15838, 505, 16145, 262, 2.747905, 3.789306
2351, 15630, 549, 15824, 519, 16133, 274, 2.801851, 1.967689
2401, 15611, 568, 15812, 531, 16126, 281, 2.838346, 1.84559
2451, 15594, 585, 15793, 550, 16118, 289, 2.803452, 1.968724
2501, 15576, 603, 15777, 566, 16112, 295, 2.840626, 1.84436
2551, 15564, 615, 15758, 585, 16108, 299, 2.806134, 1.946487
2601, 15550, 629, 15740, 603, 16098, 309, 2.807278, 1.942294
2651, 15539, 640, 15724, 619, 16092, 315, 2.841937, 1.870148
2701, 15519, 660, 15707, 636, 16080, 327, 2.843173, 1.870545
2751, 15510, 669, 15689, 654, 16076, 331, 2.81082, 1.924765
2801, 15492, 687, 15673, 670, 16065, 342, 2.8443, 1.883355
2851, 15478, 701, 15659, 684, 16059, 348, 2.812355, 1.928496
2901, 15464, 715, 15641, 702, 16051, 356, 2.845868, 1.887092
2951, 15445, 734, 15632, 711, 16040, 367, 2.84741, 1.879477
3001, 15427, 752, 15615, 728, 16034, 373, 2.848773, 1.874694
3051, 15411, 768, 15602, 741, 16025, 382, 2.740625, 3.767708
3101, 15396, 783, 15591, 752, 16014, 393, 2.815077, 1.952005
3151, 15376, 803, 15573, 770, 16007, 400, 2.852307, 1.868867
3201, 15358, 821, 15557, 786, 15999, 408, 2.73925, 3.756144
3251, 15341, 838, 15542, 801, 15990, 417, 2.738843, 3.749799
3301, 15327, 852, 15527, 816, 15982, 425, 2.818706, 1.95062
3351, 15311, 868, 15502, 841, 15975, 432, 2.820955, 1.934973
3401, 15297, 882, 15480, 863, 15960, 447, 2.856034, 1.892288
3451, 15282, 897, 15452, 891, 15953, 454, 2.856364, 1.902802
3501, 15263, 916, 15433, 910, 15947, 460, 2.857813, 1.898433
3551, 15245, 934, 15408, 935, 15938, 469, 2.85858, 1.904414
3601, 15224, 955, 15385, 958, 15930, 477, 2.859924, 1.903977
3651, 15204, 975, 15362, 981, 15918, 489, 2.86086, 1.908994
