Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4004, 14, 4136, 8, 4098, 6, 2.822337, 1.450521
51, 4003, 15, 4136, 8, 4098, 6, 2.822915, 1.387788
101, 3999, 19, 4136, 8, 4098, 6, 2.825249, 1.198527
151, 3996, 22, 4132, 12, 4097, 7, 2.82597, 1.289439
201, 3992, 26, 4131, 13, 4097, 7, 2.82812, 1.195732
251, 3988, 30, 4129, 15, 4095, 9, 2.82949, 1.231264
301, 3984, 34, 4126, 18, 4095, 9, 2.733798, 2.29404
351, 3978, 40, 4125, 19, 4094, 10, 2.834314, 1.151051
401, 3977, 41, 4121, 23, 4094, 10, 2.735085, 2.159111
451, 3977, 41, 4116, 28, 4093, 11, 2.737115, 1.963485
501, 3975, 43, 4113, 31, 4093, 11, 2.833307, 1.361534
551, 3971, 47, 4110, 34, 4093, 11, 2.835115, 1.334058
601, 3971, 47, 4106, 38, 4091, 13, 2.740545, 1.796476
651, 3969, 49, 4104, 40, 4090, 14, 2.740904, 1.806869
701, 3965, 53, 4101, 43, 4088, 16, 2.749892, 4.961462
751, 3964, 54, 4099, 45, 4087, 17, 2.749743, 4.867152
801, 3961, 57, 4095, 49, 4084, 20, 2.749901, 4.517358
851, 3958, 60, 4091, 53, 4082, 22, 2.835662, 1.623207
901, 3955, 63, 4088, 56, 4081, 23, 2.836517, 1.62729
951, 3952, 66, 4081, 63, 4080, 24, 2.74684, 1.763319
1001, 3948, 70, 4078, 66, 4080, 24, 2.838348, 1.644872
1051, 3943, 75, 4077, 67, 4078, 26, 2.84048, 1.612409
1101, 3940, 78, 4075, 69, 4077, 27, 2.747364, 1.817871
1151, 3936, 82, 4072, 72, 4075, 29, 2.745646, 4.566722
1201, 3932, 86, 4069, 75, 4073, 31, 2.747982, 1.858676
1251, 3927, 91, 4066, 78, 4072, 32, 2.748431, 1.869468
1301, 3927, 91, 4063, 81, 4072, 32, 2.749894, 1.828625
1351, 3925, 93, 4055, 89, 4070, 34, 2.752933, 1.77301
1401, 3919, 99, 4052, 92, 4068, 36, 2.8467, 1.663864
1451, 3914, 104, 4049, 95, 4066, 38, 2.84854, 1.651467
1501, 3912, 106, 4047, 97, 4065, 39, 2.753962, 1.810881
1551, 3905, 113, 4043, 101, 4064, 40, 2.852042, 1.62578
1601, 3903, 115, 4040, 104, 4063, 41, 2.85234, 1.636995
1651, 3900, 118, 4035, 109, 4062, 42, 2.757169, 1.795937
1701, 3899, 119, 4030, 114, 4060, 44, 2.758923, 1.776101
1751, 3895, 123, 4026, 118, 4057, 47, 2.852486, 1.711422
1801, 3891, 127, 4021, 123, 4054, 50, 2.738431, 4.386721
1851, 3885, 133, 4017, 127, 4052, 52, 2.761512, 1.794814
1901, 3875, 143, 4014, 130, 4047, 57, 2.859319, 1.685825
1951, 3867, 151, 4012, 132, 4044, 60, 2.737575, 4.169724
2001, 3858, 160, 4009, 135, 4042, 62, 2.759214, 1.920366
2051, 3850, 168, 3999, 145, 4039, 65, 2.734846, 4.229103
2101, 3833, 185, 3992, 152, 4033, 71, 2.876133, 1.603893
2151, 3821, 197, 3984, 160, 4029, 75, 2.731995, 4.183068
2201, 3808, 210, 3974, 170, 4024, 80, 2.764562, 1.968045
2251, 3797, 221, 3967, 177, 4021, 83, 2.889803, 1.576265
2301, 3792, 226, 3955, 189, 4016, 88, 2.727519, 4.173007
2351, 3788, 230, 3951, 193, 4012, 92, 2.770086, 1.949908
2401, 3781, 237, 3943, 201, 4010, 94, 2.772473, 1.935712
2451, 3771, 247, 3932, 212, 4006, 98, 2.894104, 1.64889
2501, 3767, 251, 3928, 216, 3999, 105, 2.893456, 1.678467
2551, 3758, 260, 3919, 225, 3991, 113, 2.895007, 1.698103
2601, 3748, 270, 3910, 234, 3988, 116, 2.898534, 1.693473
2651, 3740, 278, 3901, 243, 3985, 119, 2.78117, 1.940737
2701, 3728, 290, 3891, 253, 3982, 122, 2.905623, 1.685457
2751, 3717, 301, 3883, 261, 3974, 130, 2.784424, 1.950299
2801, 3706, 312, 3872, 272, 3968, 136, 2.911496, 1.701737
2851, 3696, 322, 3868, 276, 3962, 142, 2.915024, 1.698817
2901, 3692, 326, 3853, 291, 3957, 147, 2.912937, 1.737368
2951, 3679, 339, 3840, 304, 3948, 156, 2.915731, 1.752119
3001, 3670, 348, 3830, 314, 3941, 163, 2.716549, 3.773146
3051, 3655, 363, 3819, 325, 3939, 165, 2.923964, 1.746158
3101, 3649, 369, 3807, 337, 3932, 172, 2.71275, 3.804726
3151, 3638, 380, 3790, 354, 3929, 175, 2.808352, 1.913262
3201, 3620, 398, 3771, 373, 3921, 183, 2.706082, 3.881969
3251, 3609, 409, 3762, 382, 3918, 186, 2.935442, 1.777346
3301, 3594, 424, 3754, 390, 3909, 195, 2.703761, 3.856127
3351, 3578, 440, 3737, 407, 3904, 200, 2.946165, 1.771744
3401, 3570, 448, 3730, 414, 3891, 213, 2.94579, 1.795711
3451, 3561, 457, 3711, 433, 3882, 222, 2.825442, 1.930097
3501, 3540, 478, 3692, 452, 3876, 228, 2.831424, 1.918882
3551, 3528, 490, 3679, 465, 3866, 238, 2.955275, 1.826004
3601, 3511, 507, 3662, 482, 3856, 248, 2.837455, 1.929863
3651, 3498, 520, 3648, 496, 3848, 256, 2.962763, 1.840789
3701, 3491, 527, 3627, 517, 3840, 264, 2.848868, 1.911247
3751, 3476, 542, 3604, 540, 3836, 268, 2.858528, 1.886707
3801, 3465, 553, 3587, 557, 3825, 279, 2.963726, 1.901714
3851, 3453, 565, 3575, 569, 3821, 283, 2.866672, 1.885063
3901, 3442, 576, 3558, 586, 3813, 291, 2.872083, 1.880686
3951, 3431, 587, 3544, 600, 3806, 298, 2.678042, 3.78632
4001, 3426, 592, 3534, 610, 3797, 307, 2.96899, 1.941205
4051, 3413, 605, 3523, 621, 3790, 314, 2.97343, 1.93824
4101, 3399, 619, 3512, 632, 3781, 323, 2.676745, 3.71572
4151, 3393, 625, 3499, 645, 3772, 332, 2.885528, 1.898431
4201, 3385, 633, 3490, 654, 3764, 340, 2.976673, 1.966688
4251, 3374, 644, 3479, 665, 3760, 344, 2.980796, 1.962343
4301, 3364, 654, 3469, 675, 3749, 355, 2.67557, 3.634483
4351, 3355, 663, 3461, 683, 3741, 363, 2.891901, 1.921062
4401, 3343, 675, 3451, 693, 3733, 371, 2.987175, 1.977532
4451, 3329, 689, 3436, 708, 3729, 375, 2.899382, 1.919036
4501, 3315, 703, 3426, 718, 3722, 382, 2.900934, 1.925283
