Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 15829, 78, 16131, 76, 16211, 56, 2.833181, 2.267933
51, 15828, 79, 16131, 76, 16211, 56, 2.833328, 2.245578
101, 15825, 82, 16128, 79, 16211, 56, 2.780383, 2.295032
151, 15821, 86, 16122, 85, 16211, 56, 2.78097, 2.217878
201, 15819, 88, 16117, 90, 16206, 61, 2.833551, 2.265632
251, 15813, 94, 16111, 96, 16205, 62, 2.781588, 2.178752
301, 15804, 103, 16104, 103, 16204, 63, 2.83482, 2.153606
351, 15799, 108, 16097, 110, 16201, 66, 2.782505, 2.121197
401, 15794, 113, 16091, 116, 16199, 68, 2.83525, 2.153788
451, 15790, 117, 16080, 127, 16195, 72, 2.834975, 2.214225
501, 15784, 123, 16071, 136, 16193, 74, 2.835258, 2.20823
551, 15776, 131, 16064, 143, 16190, 77, 2.835855, 2.17451
601, 15769, 138, 16054, 153, 16186, 81, 2.76305, 3.710965
651, 15763, 144, 16044, 163, 16184, 83, 2.786619, 1.931303
701, 15759, 148, 16038, 169, 16177, 90, 2.762802, 3.660817
751, 15749, 158, 16031, 176, 16174, 93, 2.762405, 3.700862
801, 15744, 163, 16025, 182, 16170, 97, 2.837064, 2.187653
851, 15733, 174, 16017, 190, 16168, 99, 2.838171, 2.128625
901, 15722, 185, 16011, 196, 16165, 102, 2.788013, 1.961482
951, 15712, 195, 16005, 202, 16161, 106, 2.840192, 2.042238
1001, 15708, 199, 15994, 213, 16158, 109, 2.78917, 1.940528
1051, 15700, 207, 15985, 222, 16155, 112, 2.840452, 2.068653
1101, 15688, 219, 15972, 235, 16153, 114, 2.790917, 1.901248
1151, 15680, 227, 15960, 247, 16149, 118, 2.759241, 3.93498
1201, 15672, 235, 15954, 253, 16145, 122, 2.759094, 3.915888
1251, 15663, 244, 15945, 262, 16141, 126, 2.842931, 2.026521
1301, 15656, 251, 15937, 270, 16137, 130, 2.843241, 2.029932
1351, 15645, 262, 15931, 276, 16134, 133, 2.793272, 1.897359
1401, 15639, 268, 15925, 282, 16132, 135, 2.793689, 1.892865
1451, 15633, 274, 15919, 288, 16126, 141, 2.844898, 2.003696
1501, 15625, 282, 15917, 290, 16119, 148, 2.793296, 1.939365
1551, 15615, 292, 15909, 298, 16115, 152, 2.846269, 1.982245
1601, 15605, 302, 15902, 305, 16109, 158, 2.793812, 1.954454
1651, 15599, 308, 15895, 312, 16103, 164, 2.84707, 1.986554
1701, 15592, 315, 15891, 316, 16100, 167, 2.847702, 1.974395
1751, 15581, 326, 15884, 323, 16094, 173, 2.757725, 3.702208
1801, 15575, 332, 15876, 331, 16091, 176, 2.757421, 3.713801
1851, 15566, 341, 15871, 336, 16083, 184, 2.757675, 3.650007
1901, 15558, 349, 15865, 342, 16077, 190, 2.849745, 1.968362
1951, 15551, 356, 15855, 352, 16069, 198, 2.757882, 3.570135
2001, 15542, 365, 15841, 366, 16060, 207, 2.795968, 2.00095
2051, 15536, 371, 15829, 378, 16060, 207, 2.797276, 1.971427
2101, 15525, 382, 15819, 388, 16054, 213, 2.756778, 3.596019
2151, 15519, 388, 15814, 393, 16052, 215, 2.798049, 1.971825
2201, 15513, 394, 15806, 401, 16048, 219, 2.75636, 3.603713
2251, 15504, 403, 15795, 412, 16043, 224, 2.851813, 2.006822
