Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4009, 16, 4097, 10, 4045, 4, 2.806763, 1.379001
51, 4009, 16, 4097, 10, 4045, 4, 2.806763, 1.379001
101, 4004, 21, 4096, 11, 4045, 4, 2.80944, 1.208507
151, 4002, 23, 4094, 13, 4045, 4, 2.810198, 1.215868
201, 3999, 26, 4091, 16, 4044, 5, 2.74789, 2.047376
251, 3995, 30, 4089, 18, 4042, 7, 2.779733, 5.527836
301, 3993, 32, 4086, 21, 4042, 7, 2.812971, 1.318136
351, 3991, 34, 4083, 24, 4041, 8, 2.749751, 1.964244
401, 3989, 36, 4079, 28, 4039, 10, 2.750709, 1.936789
451, 3988, 37, 4079, 28, 4037, 12, 2.77867, 4.740144
501, 3988, 37, 4078, 29, 4035, 14, 2.749994, 2.065417
551, 3985, 40, 4074, 33, 4033, 16, 2.750942, 2.031466
601, 3983, 42, 4072, 35, 4031, 18, 2.75096, 2.070465
651, 3982, 43, 4064, 43, 4031, 18, 2.754706, 1.843076
701, 3978, 47, 4063, 44, 4030, 19, 2.813223, 1.773923
751, 3974, 51, 4056, 51, 4028, 21, 2.756782, 1.8209
801, 3967, 58, 4052, 55, 4027, 22, 2.816614, 1.739085
851, 3962, 63, 4050, 57, 4025, 24, 2.757261, 1.885412
901, 3957, 68, 4045, 62, 4022, 27, 2.819558, 1.726276
951, 3947, 78, 4042, 65, 4018, 31, 2.773784, 4.17135
1001, 3940, 85, 4039, 68, 4016, 33, 2.773019, 4.179644
1051, 3934, 91, 4036, 71, 4015, 34, 2.829113, 1.589429
1101, 3931, 94, 4032, 75, 4011, 38, 2.757961, 2.056961
1151, 3923, 102, 4027, 80, 4007, 42, 2.772066, 3.969137
1201, 3918, 107, 4023, 84, 4003, 46, 2.832419, 1.653774
1251, 3911, 114, 4020, 87, 4000, 49, 2.834971, 1.638578
1301, 3905, 120, 4014, 93, 4000, 49, 2.760299, 2.091722
1351, 3900, 125, 4008, 99, 3992, 57, 2.77121, 3.714068
1401, 3891, 134, 4004, 103, 3990, 59, 2.840432, 1.658605
1451, 3890, 135, 4001, 106, 3989, 60, 2.761265, 2.13728
1501, 3889, 136, 3998, 109, 3982, 67, 2.760745, 2.173527
1551, 3886, 139, 3993, 114, 3981, 68, 2.838696, 1.749663
1601, 3881, 144, 3983, 124, 3979, 70, 2.766138, 2.071337
1651, 3873, 152, 3982, 125, 3975, 74, 2.76433, 2.134493
1701, 3869, 156, 3974, 133, 3973, 76, 2.842088, 1.784214
1751, 3860, 165, 3969, 138, 3970, 79, 2.767304, 2.108277
1801, 3854, 171, 3964, 143, 3967, 82, 2.768236, 2.10549
1851, 3848, 177, 3957, 150, 3965, 84, 2.848813, 1.763521
1901, 3840, 185, 3952, 155, 3965, 84, 2.852527, 1.733367
1951, 3836, 189, 3946, 161, 3961, 88, 2.852564, 1.756302
2001, 3828, 197, 3942, 165, 3959, 90, 2.773344, 2.071836
2051, 3815, 210, 3935, 172, 3953, 96, 2.860534, 1.721139
2101, 3807, 218, 3932, 175, 3949, 100, 2.772618, 2.12824
2151, 3796, 229, 3925, 182, 3945, 104, 2.773619, 2.131427
2201, 3786, 239, 3915, 192, 3937, 112, 2.774844, 2.139901
2251, 3777, 248, 3907, 200, 3937, 112, 2.873247, 1.702113
2301, 3770, 255, 3892, 215, 3931, 118, 2.782703, 2.065562
2351, 3759, 266, 3885, 222, 3924, 125, 2.876022, 1.742149
2401, 3752, 273, 3871, 236, 3922, 127, 2.788358, 2.036634
2451, 3746, 279, 3860, 247, 3917, 132, 2.876524, 1.788236
2501, 3736, 289, 3845, 262, 3911, 138, 2.877423, 1.814269
2551, 3722, 303, 3836, 271, 3904, 145, 2.882405, 1.802211
