Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 15732, 82, 16215, 88, 16184, 48, 2.851921, 2.161877
51, 15729, 85, 16214, 89, 16184, 48, 2.852329, 2.110784
101, 15724, 90, 16210, 93, 16184, 48, 2.85288, 2.055566
151, 15714, 100, 16201, 102, 16183, 49, 2.853857, 1.98176
201, 15710, 104, 16196, 107, 16181, 51, 2.770953, 4.05684
251, 15708, 106, 16188, 115, 16180, 52, 2.769206, 1.876419
301, 15703, 111, 16180, 123, 16177, 55, 2.853933, 2.057463
351, 15697, 117, 16168, 135, 16175, 57, 2.770854, 1.811261
401, 15688, 126, 16165, 138, 16172, 60, 2.854955, 2.025048
451, 15681, 133, 16158, 145, 16171, 61, 2.855548, 1.99868
501, 15675, 139, 16152, 151, 16167, 65, 2.855774, 2.010276
551, 15669, 145, 16148, 155, 16165, 67, 2.768691, 4.295374
601, 15665, 149, 16144, 159, 16164, 68, 2.768467, 4.326301
651, 15664, 150, 16138, 165, 16160, 72, 2.772275, 1.84673
701, 15659, 155, 16130, 173, 16159, 73, 2.773002, 1.821763
751, 15655, 159, 16124, 179, 16157, 75, 2.773455, 1.812828
801, 15654, 160, 16117, 186, 16156, 76, 2.774188, 1.785524
851, 15646, 168, 16108, 195, 16153, 79, 2.856782, 2.062432
901, 15638, 176, 16102, 201, 16150, 82, 2.766866, 4.375767
951, 15633, 181, 16097, 206, 16146, 86, 2.775262, 1.797542
1001, 15629, 185, 16090, 213, 16145, 87, 2.85777, 2.051869
1051, 15616, 198, 16083, 220, 16141, 91, 2.859044, 2.004336
1101, 15607, 207, 16080, 223, 16138, 94, 2.765955, 4.326676
1151, 15599, 215, 16072, 231, 16133, 99, 2.776302, 1.830999
1201, 15589, 225, 16062, 241, 16129, 103, 2.765429, 4.272678
1251, 15586, 228, 16050, 253, 16122, 110, 2.765444, 4.174575
1301, 15569, 245, 16039, 264, 16113, 119, 2.778046, 1.843162
1351, 15558, 256, 16030, 273, 16107, 125, 2.778353, 1.855952
1401, 15548, 266, 16015, 288, 16104, 128, 2.764292, 4.121052
1451, 15537, 277, 16006, 297, 16100, 132, 2.86404, 1.967826
1501, 15530, 284, 15995, 308, 16088, 144, 2.863625, 2.012583
1551, 15517, 297, 15982, 321, 16083, 149, 2.781122, 1.855991
1601, 15502, 312, 15968, 335, 16078, 154, 2.762887, 4.038823
1651, 15494, 320, 15957, 346, 16068, 164, 2.865467, 2.01917
