Axon X, Axon Y, Axon D, Axon Dies
4.063075, -15.22438, 0.6487557, False
4.774179, -15.04138, 0.4197901, False
5.391341, -14.57038, 0.7329306, False
6.274352, -14.93143, 0.7750152, False
7.402858, -16.06616, 2.025705, False
8.722868, -15.05876, 0.8953105, False
9.665811, -14.06449, 1.44528, False
10.46834, -13.06985, 0.7107774, False
11.3356, -12.29078, 1.220826, False
10.98941, -11.09191, 0.8748822, False
15.33136, 0.4304975, 0.5722394, False
15.68441, 1.182568, 0.6893932, False
16.61005, 3.154359, 3.267105, False
14.5771, 4.894867, 0.6538294, False
14.85564, 5.867541, 0.9697095, False
14.36132, 7.176386, 1.428452, False
-0.05107091, -15.81512, 0.7327466, True
0.6767087, -16.14994, 0.4694602, True
1.283922, -16.12027, 0.3464155, True
2.159524, -16.14757, 1.00564, False
3.187576, -16.09734, 0.6529167, False
4.368182, -16.32583, 1.352113, False
5.352147, -15.51565, 0.7970752, False
5.83671, -16.88726, 1.312307, False
6.88105, -17.47305, 0.6825143, True
7.82529, -17.57846, 0.8176973, True
8.863921, -16.97153, 1.188228, False
9.333809, -15.86615, 0.8139904, False
9.861051, -15.16088, 0.5471193, False
10.45443, -14.81414, 0.4274021, False
10.82833, -14.22034, 0.5760208, False
11.22948, -13.45345, 0.7549242, False
13.17459, -13.35841, 2.73993, False
12.40922, -11.53837, 0.8089049, False
12.91342, -10.02676, 1.978051, False
13.1795, -8.39811, 0.9224399, False
16.06982, -0.6463259, 1.151034, False
15.85781, 0.2273288, 0.2469882, False
16.48735, 0.6662318, 0.8878708, False
17.53396, 1.070766, 0.9562705, False
18.40477, 1.787777, 0.8997558, False
18.73213, 2.769216, 0.7694343, False
18.65657, 3.735166, 0.7683674, False
18.25535, 4.689271, 0.9017003, False
17.32193, 5.345428, 0.9802308, False
16.21649, 5.31524, 0.8314716, False
16.0023, 6.659039, 1.490054, False
15.3819, 7.652842, 0.453057, False
15.38416, 8.818734, 1.478731, False
15.11225, 10.52459, 1.576042, False
13.77542, 11.31274, 1.12771, False
12.7076, 11.19772, 0.6202806, False
12.05742, 10.83632, 0.4674595, False
11.26889, 11.14462, 0.8258427, False
10.90935, 11.99961, 0.6291713, False
10.25654, 12.25484, 0.3727016, False
9.281584, 12.63603, 1.320947, False
-2.095704, -15.88906, 1.170049, True
-0.9233634, -16.07131, 0.8027948, True
-0.2665469, -16.55448, 0.4279822, True
0.5434708, -16.97026, 0.9930097, True
2.195897, -18.18582, 2.709717, False
4.073127, -17.55164, 0.8531963, False
5.213564, -18.39057, 1.578339, False
6.995131, -18.81566, 1.684819, False
8.150168, -18.31941, 0.4294341, True
9.282755, -18.40363, 1.441992, False
10.11764, -17.19626, 1.093828, False
11.02029, -15.89091, 1.680276, False
11.38021, -14.66232, 0.4801695, False
12.05748, -14.65841, 0.4743907, False
12.70376, -15.21868, 0.8362539, False
13.76446, -15.21254, 0.8851823, False
14.34649, -14.60627, 0.3956878, False
16.68559, -14.01948, 4.027477, False
14.87576, -12.09627, 0.8542816, False
14.14473, -12.02607, 0.2144926, False
14.26172, -11.09493, 1.262418, False
