Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4031, 7, 4031, 8, 4034, 4, 2.782298, 2.294775
51, 4031, 7, 4030, 9, 4034, 4, 2.782793, 1.872394
101, 4028, 10, 4028, 11, 4033, 5, 2.78301, 2.154474
151, 4027, 11, 4024, 15, 4033, 5, 2.78483, 1.690063
201, 4027, 11, 4021, 18, 4032, 6, 2.786001, 1.610917
251, 4026, 12, 4018, 21, 4030, 8, 2.78679, 1.627884
301, 4023, 15, 4014, 25, 4029, 9, 2.787989, 1.620739
351, 4022, 16, 4010, 29, 4028, 10, 2.789509, 1.571543
401, 4018, 20, 4004, 35, 4025, 13, 2.790854, 1.626572
451, 4015, 23, 3998, 41, 4025, 13, 2.793451, 1.543656
501, 4013, 25, 3995, 44, 4023, 15, 2.77451, 4.643455
551, 4011, 27, 3994, 45, 4020, 18, 2.781545, 2.767724
601, 4008, 30, 3990, 49, 4018, 20, 2.781831, 2.731006
651, 4005, 33, 3987, 52, 4016, 22, 2.774743, 4.00642
701, 4003, 35, 3985, 54, 4015, 23, 2.795301, 1.708045
751, 4002, 36, 3980, 59, 4014, 24, 2.797412, 1.657808
801, 3998, 40, 3976, 63, 4010, 28, 2.782122, 2.714582
851, 3992, 46, 3974, 65, 4010, 28, 2.785048, 2.469432
901, 3985, 53, 3969, 70, 4008, 30, 2.787393, 2.334788
951, 3982, 56, 3965, 74, 4007, 31, 2.799861, 1.757542
1001, 3982, 56, 3962, 77, 4002, 36, 2.771889, 3.844583
1051, 3981, 57, 3960, 79, 4000, 38, 2.772099, 3.766058
1101, 3979, 59, 3956, 83, 3998, 40, 2.801045, 1.81416
1151, 3975, 63, 3954, 85, 3996, 42, 2.80084, 1.846913
1201, 3973, 65, 3954, 85, 3991, 47, 2.773067, 3.493622
1251, 3971, 67, 3950, 89, 3988, 50, 2.799909, 1.931125
1301, 3967, 71, 3947, 92, 3986, 52, 2.786051, 2.524581
1351, 3962, 76, 3944, 95, 3984, 54, 2.787799, 2.450672
1401, 3958, 80, 3942, 97, 3983, 55, 2.789353, 2.390624
1451, 3955, 83, 3933, 106, 3980, 58, 2.803943, 1.920763
1501, 3949, 89, 3926, 113, 3978, 60, 2.7896, 2.419962
1551, 3942, 96, 3923, 116, 3975, 63, 2.792083, 2.344965
1601, 3940, 98, 3917, 122, 3968, 70, 2.770082, 3.426071
1651, 3931, 107, 3913, 126, 3965, 73, 2.769255, 3.444
1701, 3924, 114, 3906, 133, 3960, 78, 2.807227, 2.003624
1751, 3919, 119, 3900, 139, 3959, 79, 2.809321, 1.97956
