Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4032, 6, 4027, 12, 4035, 3, 2.784728, 1.45074
51, 4030, 8, 4026, 13, 4035, 3, 2.782243, 2.383338
101, 4027, 11, 4023, 16, 4033, 5, 2.782853, 2.268785
151, 4023, 15, 4020, 19, 4032, 6, 2.786226, 1.625145
201, 4021, 17, 4019, 20, 4029, 9, 2.783995, 2.180296
251, 4020, 18, 4014, 25, 4027, 11, 2.777992, 4.048336
301, 4016, 22, 4009, 30, 4027, 11, 2.788987, 1.681863
351, 4012, 26, 4004, 35, 4023, 15, 2.789631, 1.766367
401, 4009, 29, 4001, 38, 4022, 16, 2.775688, 4.230663
451, 4006, 32, 3996, 43, 4022, 16, 2.792243, 1.714057
501, 4004, 34, 3991, 48, 4021, 17, 2.785136, 2.34768
551, 4001, 37, 3987, 52, 4016, 22, 2.774048, 4.133201
601, 3998, 40, 3985, 54, 4012, 26, 2.7748, 3.807914
651, 3991, 47, 3979, 60, 4009, 29, 2.786441, 2.357895
701, 3980, 58, 3973, 66, 4004, 34, 2.794758, 1.9384
751, 3971, 67, 3968, 71, 4001, 37, 2.794962, 1.987266
801, 3966, 72, 3960, 79, 4000, 38, 2.793778, 2.102525
851, 3958, 80, 3953, 86, 3994, 44, 2.794976, 2.112362
901, 3957, 81, 3944, 95, 3983, 55, 2.771678, 3.489336
951, 3950, 88, 3934, 105, 3979, 59, 2.790427, 2.378678
1001, 3944, 94, 3926, 113, 3973, 65, 2.769933, 3.485611
1051, 3936, 102, 3925, 114, 3967, 71, 2.771163, 3.356457
1101, 3930, 108, 3915, 124, 3964, 74, 2.793229, 2.352978
1151, 3926, 112, 3909, 130, 3956, 82, 2.770901, 3.290529
1201, 3919, 119, 3902, 137, 3949, 89, 2.8044, 2.107603
1251, 3911, 127, 3893, 146, 3941, 97, 2.771333, 3.192661
1301, 3901, 137, 3882, 157, 3934, 104, 2.793909, 2.426791
1351, 3888, 150, 3872, 167, 3930, 108, 2.809669, 2.110608
1401, 3882, 156, 3859, 180, 3928, 110, 2.765472, 3.352147
1451, 3873, 165, 3852, 187, 3917, 121, 2.798567, 2.379772
1501, 3866, 172, 3844, 195, 3904, 134, 2.796354, 2.446575
1551, 3850, 188, 3832, 207, 3895, 143, 2.800159, 2.398404
1601, 3833, 205, 3819, 220, 3888, 150, 2.815269, 2.181835
1651, 3818, 220, 3802, 237, 3879, 159, 2.807032, 2.337589
1701, 3802, 236, 3785, 254, 3869, 169, 2.821993, 2.166417
1751, 3787, 251, 3774, 265, 3856, 182, 2.811347, 2.330453
1801, 3774, 264, 3754, 285, 3845, 193, 2.811242, 2.355619
1851, 3756, 282, 3742, 297, 3824, 214, 2.812779, 2.364231
1901, 3745, 293, 3728, 311, 3808, 230, 2.764125, 3.068374
1951, 3731, 307, 3711, 328, 3791, 247, 2.824397, 2.287121
2001, 3716, 322, 3699, 340, 3770, 268, 2.809141, 2.461951
2051, 3698, 340, 3677, 362, 3759, 279, 2.828031, 2.300676
