Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4032, 6, 4027, 12, 4035, 3, 2.784728, 1.45074
51, 4030, 8, 4026, 13, 4035, 3, 2.782243, 2.383338
101, 4027, 11, 4023, 16, 4033, 5, 2.782853, 2.268785
151, 4022, 16, 4020, 19, 4032, 6, 2.784691, 1.967526
201, 4021, 17, 4018, 21, 4029, 9, 2.785869, 1.804167
251, 4018, 20, 4014, 25, 4027, 11, 2.783969, 2.27601
301, 4016, 22, 4008, 31, 4027, 11, 2.789477, 1.654224
351, 4010, 28, 4003, 36, 4023, 15, 2.789875, 1.767646
401, 4006, 32, 3998, 41, 4022, 16, 2.791303, 1.75307
451, 4006, 32, 3993, 46, 4021, 17, 2.773964, 4.55287
501, 4002, 36, 3990, 49, 4018, 20, 2.774039, 4.270901
551, 4000, 38, 3985, 54, 4014, 24, 2.794373, 1.776477
601, 3994, 44, 3980, 59, 4010, 28, 2.774097, 3.834904
651, 3985, 53, 3977, 62, 4005, 33, 2.774014, 3.684302
701, 3974, 64, 3970, 69, 4002, 36, 2.794762, 1.975368
751, 3967, 71, 3964, 75, 4000, 38, 2.794034, 2.078486
801, 3962, 76, 3955, 84, 3995, 43, 2.798467, 1.94722
851, 3957, 81, 3948, 91, 3985, 53, 2.771916, 3.498461
901, 3954, 84, 3935, 104, 3979, 59, 2.801763, 1.986271
951, 3944, 94, 3927, 112, 3974, 64, 2.790803, 2.389161
1001, 3936, 102, 3925, 114, 3968, 70, 2.770768, 3.387202
1051, 3931, 107, 3916, 123, 3963, 75, 2.769988, 3.38733
1101, 3925, 113, 3909, 130, 3956, 82, 2.79264, 2.392898
1151, 3919, 119, 3902, 137, 3949, 89, 2.771023, 3.244288
1201, 3911, 127, 3893, 146, 3941, 97, 2.79259, 2.438489
1251, 3899, 139, 3882, 157, 3934, 104, 2.795046, 2.400176
1301, 3886, 152, 3870, 169, 3929, 109, 2.768007, 3.266177
1351, 3881, 157, 3858, 181, 3925, 113, 2.814429, 2.063234
1401, 3872, 166, 3852, 187, 3915, 123, 2.767472, 3.226512
1451, 3861, 177, 3841, 198, 3902, 136, 2.798072, 2.418983
1501, 3847, 191, 3830, 209, 3892, 146, 2.767824, 3.144809
1551, 3828, 210, 3814, 225, 3881, 157, 2.804044, 2.369695
1601, 3811, 227, 3796, 243, 3873, 165, 2.807549, 2.343371
1651, 3794, 244, 3779, 260, 3863, 175, 2.760283, 3.248813
1701, 3781, 257, 3761, 278, 3849, 189, 2.760111, 3.216109
1751, 3764, 274, 3747, 292, 3835, 203, 2.812691, 2.352357
1801, 3748, 290, 3735, 304, 3816, 222, 2.813573, 2.366351
1851, 3740, 298, 3717, 322, 3795, 243, 2.806563, 2.466337
1901, 3719, 319, 3701, 338, 3778, 260, 2.81026, 2.445632
1951, 3708, 330, 3686, 353, 3760, 278, 2.824593, 2.323127
2001, 3682, 356, 3667, 372, 3749, 289, 2.828054, 2.314632
2051, 3674, 364, 3642, 397, 3733, 305, 2.766133, 2.968992
