Axon X, Axon Y, Axon D, Axon Dies
3.382318, -15.96044, 1.487726, False
4.728583, -16.10244, 0.8197411, True
6.163479, -16.13845, 1.650954, False
6.850637, -14.80511, 0.9490502, False
2.299032, -17.04994, 1.208853, True
3.406288, -17.1255, 0.6108087, True
4.618478, -17.40694, 1.478061, True
6.045688, -17.61993, 1.007967, True
7.13588, -17.24422, 0.898263, True
7.956905, -16.04132, 1.614514, False
7.795641, -14.71628, 0.6551118, False
8.139107, -13.80073, 0.9005915, False
10.46664, -12.90863, 0.9692314, False
11.50686, -12.64094, 0.7790073, False
12.13286, -11.8651, 0.8147917, False
12.26543, -10.75532, 1.020538, False
12.41158, -9.531906, 1.043692, False
13.89304, -7.576606, 1.231598, False
14.88469, -7.143389, 0.5327016, False
15.65885, -6.728592, 0.8238617, False
16.48877, -5.512639, 1.720503, False
15.44027, -3.983725, 1.587294, False
15.60504, 3.103912, 0.9407034, False
14.99967, 3.850806, 0.5821335, False
15.04565, 5.032398, 1.382839, False
-7.610036, -13.20042, 0.4236303, True
-7.102619, -13.85475, 0.8324251, True
-6.132044, -15.18761, 1.924606, False
-4.549342, -15.49393, 0.8995384, True
-3.600261, -15.2928, 0.640779, True
-2.000625, -15.66209, 0.6183511, True
-1.35054, -16.17838, 0.641972, True
-0.5165523, -16.56206, 0.7940522, True
0.1371222, -17.00086, 0.3805372, True
0.8582723, -17.48495, 0.956589, True
1.742144, -18.18691, 0.9008284, True
2.970363, -18.22521, 1.156802, True
4.225232, -18.92909, 1.320793, True
5.537747, -18.65094, 0.9625369, True
6.790143, -18.58974, 1.145244, True
8.167212, -18.05747, 1.407466, False
9.524125, -16.9402, 1.707932, False
9.265062, -15.31492, 1.183674, False
11.22748, -14.73181, 2.51077, False
13.37754, -13.23281, 2.331265, False
12.9888, -11.63086, 0.565629, False
13.3481, -10.78562, 0.8712507, False
13.73213, -9.634295, 1.156109, False
13.08361, -8.892009, 0.4152479, False
13.65787, -8.556441, 0.5149769, False
14.63593, -8.665633, 1.053304, False
15.48065, -7.84843, 0.8973382, False
16.42718, -7.392568, 0.803826, False
16.73812, -6.661107, 0.3857878, False
18.13303, -6.704612, 2.005388, False
18.0046, -5.062708, 0.8884513, False
17.27093, -4.453826, 0.6183904, False
16.77175, -3.65421, 0.8668824, False
16.13502, -2.634245, 1.137911, False
16.88771, -1.195305, 1.70992, False
17.27812, 1.194347, 2.732743, False
15.98948, 2.263798, 0.2164708, False
16.71591, 3.235498, 1.009964, False
15.99651, 4.058916, 0.77686, False
16.61425, 5.239855, 1.488635, False
15.67441, 6.156148, 0.7365366, False
15.0038, 5.972494, 0.2540747, False
14.55839, 5.850513, 0.269551, False
15.09531, 8.026234, 2.812433, False
13.55989, 9.300499, 0.7781972, False
12.52762, 9.704097, 1.038531, False
-12.03831, 9.449275, 0.439516, True
-15.43494, 4.130706, 0.8634434, True
-16.40301, 3.486287, 1.062445, True
-16.50879, 2.467454, 0.5861757, True
-16.20275, 1.465865, 1.108429, True
-15.60447, 0.4599363, 0.8323669, True
-14.51228, -4.777707, 0.3985965, True
-14.86856, -5.773911, 1.3174, True
-13.93595, -6.351146, 0.4761995, True
-13.063, -8.354479, 0.9879334, True
-8.160039, -13.75765, 0.8335521, True
-7.650404, -14.47674, 0.5291948, True
-7.413711, -15.07533, 0.3581799, True
-7.867706, -16.34474, 1.938123, False
-6.222556, -16.87941, 1.121578, True
-4.489818, -17.14877, 1.985523, False
-3.895622, -15.90279, 0.3752974, True
-3.090142, -16.02801, 0.855012, True
-2.299142, -16.28508, 0.4084381, True
-1.802837, -16.44638, 0.2352765, True
-1.418954, -16.98804, 0.692515, True
-0.5492676, -17.52632, 0.9530727, True
0.1939291, -18.41487, 0.9636959, True
1.2152, -19.85587, 2.168719, False
2.654866, -19.23734, 0.5651083, True
3.366801, -19.60278, 0.635386, True
4.079151, -20.04368, 0.6401297, True
4.872597, -19.84464, 0.595932, True
5.836203, -19.68341, 0.9580708, True
7.670998, -20.4467, 2.616389, False
8.796124, -19.06948, 0.5403678, True
9.362365, -18.37637, 0.8496373, True
11.27293, -18.51844, 2.582041, False
12.17938, -16.61769, 1.229618, False
12.88562, -15.59635, 0.8538436, False
13.75804, -14.93891, 0.9309679, False
15.04476, -14.38609, 1.469923, False
15.21872, -13.00149, 0.921043, False
14.6235, -12.46262, 0.2847835, False
14.35475, -11.7377, 0.8614731, False
14.40513, -10.61846, 0.9792788, False
15.37996, -9.753416, 1.227332, False
15.78312, -8.698331, 0.6316402, False
16.55364, -8.291496, 0.7110326, False
17.05865, -7.765453, 0.3473943, False
17.60566, -7.993013, 0.4375163, False
18.1496, -7.989869, 0.2503829, False
18.65558, -7.905208, 0.3756437, False
19.44577, -7.638262, 0.8924789, False
19.48369, -6.795746, 0.394259, False
19.4576, -6.051184, 0.6957803, False
20.10486, -3.841811, 3.508685, False
18.46766, -1.796544, 1.33099, False
18.08442, -0.7628227, 0.4739601, False
18.67755, -0.1449888, 0.8389522, False
18.83556, 0.615052, 0.313634, False
19.1302, 1.23288, 0.6553393, False
19.3215, 2.755494, 2.013829, False
18.16724, 4.460781, 1.704577, False
17.70876, 5.697444, 0.5332531, False
17.18177, 6.628553, 1.206546, False
17.50461, 8.181415, 1.565588, False
16.67406, 9.648863, 1.406783, False
15.37904, 9.987475, 0.8703407, False
13.89397, 11.84269, 3.482437, False
11.52214, 11.49812, 0.911019, False
10.7276, 11.57443, 0.2853829, False
10.21879, 11.90471, 0.5278271, False
5.667579, 14.09887, 0.3066532, False
-10.42047, 11.79621, 0.6499974, True
-11.70322, 11.3934, 1.639018, False
-12.58724, 10.17203, 0.9764309, True
-13.7227, 9.354065, 1.422374, True
-13.35942, 7.951878, 1.074589, True
-15.37558, 6.090313, 1.750075, False
-16.31983, 4.785721, 1.070837, True
-17.19711, 4.153742, 0.6915917, True
-17.48471, 3.245026, 0.8146872, True
-17.11507, 2.557844, 0.3458909, True
-17.59426, 1.606274, 1.384945, True
-16.8781, 0.2748728, 1.238647, True
-16.86356, -0.8017248, 0.5147443, True
-17.67436, -1.610704, 1.375962, True
-17.0853, -2.705793, 0.710969, True
-16.47088, -4.106, 1.947198, False
-15.98138, -5.518912, 0.6434073, True
-15.8824, -6.574342, 1.076712, True
-14.72006, -7.673085, 1.72221, False
-13.9758, -9.05671, 1.019981, True
-13.4521, -9.740602, 0.3027723, True
-13.59327, -10.69729, 1.23132, True
-12.16416, -11.66929, 1.825353, False
-10.60555, -11.72739, 0.8940191, False
-9.721811, -13.26467, 1.434994, False
-8.987918, -14.62902, 1.26343, True
-9.701713, -16.04645, 1.510593, True
-9.033981, -17.0802, 0.5507004, True
-8.380507, -18.09187, 1.458041, True
-6.837311, -18.1494, 1.230494, True
