Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 4039, 21, 4065, 15, 4027, 15, 2.760645, 3.040507
51, 4038, 22, 4065, 15, 4027, 15, 2.778949, 2.101573
101, 4036, 24, 4064, 16, 4027, 15, 2.77982, 2.011476
151, 4033, 27, 4059, 21, 4025, 17, 2.785421, 3.312285
201, 4031, 29, 4056, 24, 4024, 18, 2.763021, 2.533884
251, 4027, 33, 4055, 25, 4022, 20, 2.781541, 2.010974
301, 4024, 36, 4054, 26, 4021, 21, 2.784802, 3.330412
351, 4022, 38, 4053, 27, 4021, 21, 2.762355, 2.659368
401, 4021, 39, 4053, 27, 4020, 22, 2.78464, 3.335294
451, 4019, 41, 4052, 28, 4019, 23, 2.761897, 2.729414
501, 4018, 42, 4051, 29, 4018, 24, 2.784738, 1.870318
551, 4018, 42, 4051, 29, 4018, 24, 2.784738, 1.870318
601, 4018, 42, 4049, 31, 4018, 24, 2.762973, 2.591978
651, 4017, 43, 4048, 32, 4017, 25, 2.763001, 2.593827
701, 4016, 44, 4048, 32, 4017, 25, 2.78491, 1.896182
751, 4015, 45, 4046, 34, 4015, 27, 2.763147, 2.586347
801, 4014, 46, 4046, 34, 4015, 27, 2.78502, 1.925226
851, 4014, 46, 4045, 35, 4015, 27, 2.763451, 2.556228
901, 4014, 46, 4044, 36, 4013, 29, 2.78479, 3.181674
951, 4013, 47, 4042, 38, 4013, 29, 2.76439, 2.472758
1001, 4013, 47, 4040, 40, 4013, 29, 2.765357, 2.389727
1051, 4011, 49, 4038, 42, 4013, 29, 2.766108, 2.335392
1101, 4009, 51, 4037, 43, 4011, 31, 2.785161, 1.99842
1151, 4009, 51, 4035, 45, 4010, 32, 2.766516, 2.32748
1201, 4008, 52, 4033, 47, 4009, 33, 2.766993, 2.305278
1251, 4005, 55, 4032, 48, 4009, 33, 2.785753, 2.012517
1301, 4003, 57, 4030, 50, 4007, 35, 2.785842, 2.033452
1351, 4001, 59, 4027, 53, 4007, 35, 2.786345, 2.024824
1401, 4001, 59, 4026, 54, 4005, 37, 2.782768, 3.314784
1451, 4001, 59, 4024, 56, 4005, 37, 2.769271, 2.215847
1501, 4001, 59, 4022, 58, 4003, 39, 2.782855, 3.278562
1551, 4001, 59, 4021, 59, 4003, 39, 2.770188, 2.181486
1601, 3999, 61, 4019, 61, 4003, 39, 2.770924, 2.152261
1651, 3999, 61, 4018, 62, 4002, 40, 2.782241, 3.32759
1701, 3998, 62, 4017, 63, 4002, 40, 2.784676, 2.169368
1751, 3996, 64, 4016, 64, 4002, 40, 2.771838, 2.123923
1801, 3995, 65, 4016, 64, 4002, 40, 2.78627, 2.099748
1851, 3994, 66, 4014, 66, 4002, 40, 2.772483, 2.104311
1901, 3994, 66, 4014, 66, 4001, 41, 2.781135, 3.422274
1951, 3994, 66, 4013, 67, 4001, 41, 2.772644, 2.10465
2001, 3993, 67, 4012, 68, 4001, 41, 2.786147, 2.127576
2051, 3992, 68, 4012, 68, 4000, 42, 2.780897, 3.429647
2101, 3989, 71, 4012, 68, 3999, 43, 2.787977, 2.061836
2151, 3988, 72, 4012, 68, 3998, 44, 2.788333, 2.052226
2201, 3987, 73, 4010, 70, 3997, 45, 2.781297, 3.350867
2251, 3985, 75, 4009, 71, 3997, 45, 2.789166, 2.037421
