Axon X, Axon Y, Axon D, Axon Dies
15.85539, 1.499767, 0.6765313, False
15.97766, 2.248127, 0.4400313, False
15.97945, 3.175401, 1.01452, False
15.12775, 3.774122, 0.6676654, False
15.32985, 5.01121, 1.439314, False
14.46219, 6.181261, 1.074001, False
13.79457, 6.832159, 0.3908146, False
-6.47627, -14.82483, 2.046086, False
-5.100412, -15.27197, 0.447303, False
-4.247199, -16.70654, 2.49093, False
-2.768023, -15.59184, 0.8133934, False
12.10206, -10.29515, 1.310644, False
13.59379, -10.40607, 1.281066, False
14.39127, -9.42991, 0.8399306, False
14.49431, -8.609816, 0.4131518, False
14.53409, -7.725906, 0.9564576, False
15.10714, -6.736539, 0.9302282, False
15.07085, -5.700559, 0.7430036, False
15.27567, -4.715383, 0.8694803, False
16.74393, -3.185964, 2.970754, False
16.13246, -1.018992, 1.132429, False
15.97869, 0.3119612, 1.147183, False
16.70529, 1.201356, 0.7497436, False
16.60238, 2.092024, 0.6434408, False
16.98514, 2.894625, 0.7349507, False
17.05419, 4.428723, 1.936351, False
16.31681, 5.731542, 0.6576821, False
15.69057, 5.895288, 0.236919, False
15.52728, 6.721902, 1.048256, False
14.54759, 7.357836, 0.8877316, False
14.30141, 8.230266, 0.5252649, False
13.73902, 9.061134, 1.08135, False
8.711834, 14.1183, 0.8280286, False
8.430933, 15.11377, 0.8406695, False
7.716693, 15.50003, 0.3833205, False
7.110095, 15.89379, 0.6630571, False
6.31159, 15.8424, 0.5372552, False
4.57873, 16.77953, 3.002804, False
2.469177, 16.11709, 1.019427, False
1.191617, 15.82568, 1.201323, False
-0.07457507, 15.64174, 0.9576436, False
-0.5285279, 16.8662, 1.254155, False
-1.687849, 17.16932, 0.7424369, False
-2.758921, 17.1004, 1.004136, False
-3.523775, 16.33726, 0.7567793, False
-5.14829, 16.49327, 2.107199, False
-6.047401, 15.25104, 0.5597383, False
-6.950385, 14.60055, 1.266037, False
-8.147455, 14.00108, 1.011529, False
-9.790136, 13.33683, 2.132271, False
-10.59516, 11.73825, 1.047415, False
-11.84974, 11.34429, 1.182551, False
-12.91627, 10.69877, 0.9107789, False
-13.91776, 10.71453, 0.6924476, False
-14.97411, 10.56107, 1.04244, False
-15.32789, 9.691802, 0.4345681, False
-16.38726, 9.050616, 1.64203, False
-16.03889, 7.705956, 0.7360824, False
-15.61734, 6.922278, 0.6436363, False
-15.00562, 6.243546, 0.7838, False
-14.49849, 5.458443, 0.685492, False
-10.3731, -13.06821, 1.934658, False
-8.971773, -13.72326, 0.7590839, False
-8.309429, -14.74866, 1.282348, False
-7.611238, -15.52334, 0.4034052, False
-7.159769, -16.22228, 0.8607343, False
-6.396283, -17.40426, 1.553512, False
-5.324497, -18.01405, 0.5127136, False
-4.615457, -18.41746, 0.7188182, False
-3.794006, -18.24859, 0.5584372, False
-3.078278, -17.90924, 0.6257741, False
-2.428647, -17.18045, 0.9268098, False
-1.779511, -16.16331, 1.086441, False
9.875448, -13.01881, 1.064715, False
10.85672, -12.08099, 1.249988, False
11.83874, -11.40518, 0.7341951, False
12.79418, -11.28731, 0.791158, False
13.69375, -11.62311, 0.7292575, False
14.81747, -11.19662, 1.274609, False
15.36777, -9.923624, 1.099082, False
15.48358, -8.611418, 1.135531, False
15.77109, -7.476109, 0.8067638, False
16.105, -6.49495, 0.866079, False
17.36967, -5.624622, 1.804335, False
17.95915, -4.514205, 0.3100351, False
18.52533, -4.053769, 0.7495052, False
18.6708, -3.196136, 0.5902625, False
18.90458, -1.817951, 1.80548, False
17.5413, -1.275353, 0.7290955, False
17.19403, -0.1986005, 1.13364, False
17.97545, 1.025819, 1.371406, False
18.25244, 2.658774, 1.541156, False
18.59548, 4.013342, 0.8534985, False
18.60487, 5.18477, 1.089432, False
17.67671, 5.739616, 0.6732849, False
16.92443, 6.611315, 1.229569, False
16.27863, 7.876436, 1.211274, False
15.21496, 7.853863, 0.5165328, False
14.99233, 8.796274, 1.02017, False
14.56484, 9.830404, 0.8178395, False
13.57433, 10.13549, 0.8550317, False
12.52309, 10.76391, 1.194461, False
11.17018, 11.90068, 1.939721, False
9.803461, 12.87391, 1.015928, False
10.05879, 14.37915, 1.637571, False
9.32185, 15.57578, 0.7731112, False
8.290292, 16.31034, 1.359632, False
7.169151, 16.65566, 0.5866013, False
6.566106, 17.35444, 0.859422, False
6.031597, 18.40153, 1.091827, False
4.960359, 18.73148, 0.7499756, False
3.944195, 18.79128, 0.8858676, False
2.704767, 18.23596, 1.430428, False
2.668338, 17.00323, 0.6360939, False
1.619759, 17.06495, 1.064693, False
0.5076616, 17.40748, 0.8626153, False
-0.3795397, 18.15294, 1.054998, False
-2.066108, 18.82421, 2.175493, False
-3.465149, 17.90514, 0.7723472, False
-4.63375, 18.26508, 1.273208, False
-6.069553, 18.11925, 1.213172, False
-6.549975, 17.07047, 0.6939784, False
-6.573978, 16.25823, 0.5312194, False
-7.725944, 15.95027, 1.453619, False
-8.53686, 14.92578, 0.7595488, False
-9.998449, 15.64773, 2.100785, False
-11.00107, 14.38105, 0.730135, False
-11.42605, 13.4533, 0.9107789, False
-11.14785, 12.52263, 0.6319472, False
-12.00082, 12.36633, 0.7023788, False
-12.62416, 11.88132, 0.4772266, False
-13.27062, 11.52713, 0.5970365, False
-14.05381, 11.44758, 0.5774066, False
-14.99607, 11.73781, 0.9944763, False
-15.99551, 11.19021, 0.8847721, False
-16.32043, 10.29886, 0.6126881, False
-17.04819, 10.1043, 0.4939567, False
-18.35689, 9.387265, 2.090555, False
-17.33547, 8.150876, 0.7169108, False
-16.94859, 7.15479, 1.020248, False
-16.26505, 5.989437, 1.281803, False
-15.95788, 4.551528, 1.258906, False
-15.5126, 3.405095, 0.8008319, False
-16.57184, 2.267071, 1.908567, False
-16.76898, 0.4746925, 1.297807, False
-15.91243, 0.02842468, 0.2338488, False
-15.53725, -0.3008502, 0.364522, False
-15.50281, -0.9827541, 0.6010239, False
-15.67062, -1.85743, 0.7802309, False
-15.1133, -2.346551, 0.3027982, False
-11.06467, -11.07742, 0.5756699, False
-12.08223, -12.00885, 1.783312, False
-11.889, -13.48162, 0.7874766, False
-11.34216, -14.41392, 0.9741958, False
-10.34379, -14.49426, 0.6290039, False
-9.495028, -14.42647, 0.6739231, False
-9.361705, -15.44261, 0.9757674, False
-8.341488, -15.97415, 0.9249979, False
-7.820516, -16.7188, 0.492596, False
-7.601232, -17.45239, 0.638734, False
-7.324819, -18.3771, 0.891543, False
-6.522394, -18.50685, 0.3341494, False
-5.923213, -18.45899, 0.4680303, False
-5.355451, -19.92079, 2.268339, False
-3.929081, -19.0271, 0.6980888, False
-3.098791, -18.67635, 0.7045859, False
-2.311601, -18.18314, 0.7532907, False
-1.476327, -17.6598, 0.8180689, False
-1.235572, -16.85615, 0.4598036, False
-0.7832006, -16.21039, 0.7170895, False
0.3556505, -17.20988, 1.9134, False
1.121939, -15.90525, 0.7126547, False
2.337909, -15.80814, 1.327029, False
3.403182, -15.25394, 0.6745899, False
6.232026, -14.80904, 0.9402797, False
7.276192, -15.15542, 0.8599601, False
8.109421, -14.72194, 0.6185246, False
9.087831, -14.10892, 1.290658, False
10.34063, -14.00887, 0.8229162, False
11.24578, -13.33534, 1.033579, False
11.97336, -12.45573, 0.8494773, False
13.39256, -13.05628, 1.832603, False
14.75676, -12.34657, 0.8429269, False
16.2193, -12.11099, 1.719855, False
16.29661, -10.59843, 0.9092107, False
16.26974, -9.670126, 0.5481821, False
16.48897, -8.938302, 0.5797336, False
16.69569, -7.973505, 0.9936537, False
16.82369, -7.002471, 0.5652161, False
17.7026, -7.002737, 0.7926009, False
19.1534, -6.522434, 1.863864, False
20.16391, -4.436231, 2.372245, False
20.79199, -2.339692, 1.604949, False
20.00826, -1.496652, 0.2971765, False
19.84399, -0.9006524, 0.5392694, False
19.12834, -0.3431241, 0.8751052, False
19.38339, 0.8472361, 1.159648, False
18.83611, 1.66646, 0.4107682, False
19.47401, 2.141115, 0.77946, False
19.52325, 3.104598, 0.7500206, False
19.49627, 4.036862, 0.71529, False
19.41272, 4.800681, 0.4214576, False
19.56667, 5.519191, 0.6481773, False
18.89329, 6.243536, 0.9298211, False
18.1063, 7.090077, 0.9818658, False
17.33629, 7.795772, 0.7070839, False
17.09255, 8.680119, 0.7275612, False
16.11083, 9.218771, 1.111997, False
15.37382, 9.894225, 0.487436, False
15.0404, 10.62324, 0.7158473, False
14.16266, 10.85846, 0.7015721, False
13.50029, 11.84999, 1.28328, False
12.5819, 13.22474, 1.623301, False
11.32253, 13.91574, 0.8496777, False
11.22842, 14.77615, 0.4814139, False
10.84087, 15.62355, 0.9822206, False
9.994464, 15.77917, 0.3389589, False
9.65946, 16.69993, 1.220659, False
8.762079, 17.29022, 0.5275844, False
8.018606, 17.30645, 0.5597156, False
7.449689, 18.32605, 1.375454, False
6.713388, 19.93599, 1.765192, False
4.741179, 20.13751, 1.799765, False
3.376733, 19.5954, 0.7366229, False
1.883276, 19.86999, 1.900357, False
1.545956, 18.44595, 0.6265318, False
0.5796072, 18.87962, 1.091863, False
-0.3506615, 18.97467, 0.3783615, False
-0.6071153, 19.90513, 1.151945, False
-1.579738, 20.25119, 0.5127583, False
-2.389162, 20.40001, 0.7332236, False
-2.97471, 19.90862, 0.395613, False
-3.700197, 19.39266, 0.98488, False
-4.632883, 19.26296, 0.4984436, False
-5.707209, 19.46048, 1.286223, False
-6.719146, 18.9614, 0.5704092, False
-7.152744, 18.25829, 0.6817114, False
-8.412745, 17.63686, 1.728106, False
-10.12626, 17.53706, 1.304726, False
-11.47944, 16.86968, 1.312902, False
-11.98586, 15.30274, 1.580563, False
-11.70166, 14.17764, 0.3403301, False
-12.10232, 13.78271, 0.3848371, False
-12.60202, 13.10108, 0.9054997, False
-13.07816, 12.32898, 0.5087372, False
-14.69868, 13.81413, 2.887505, False
-16.05276, 12.24701, 0.8546581, False
-16.55533, 11.66537, 0.2827177, False
-17.46758, 11.12078, 1.442178, False
-18.88647, 11.03814, 1.000402, False
-19.61673, 10.31833, 0.6503588, False
-19.80767, 9.512242, 0.6064269, False
-19.6784, 8.747366, 0.5450189, False
-19.23962, 8.167091, 0.5099665, False
-18.48768, 7.810003, 0.754891, False
-17.76338, 7.392066, 0.517561, False
-17.69627, 6.626311, 0.6198196, False
-17.32931, 5.934056, 0.5471827, False
-17.09038, 4.988165, 1.004019, False
-16.8033, 4.142915, 0.3813297, False
-17.41782, 3.53718, 0.9444232, False
-18.09974, 2.607001, 0.9622989, False
-17.84604, 1.602647, 0.7095017, False
-17.77355, 0.7756127, 0.550907, False
-18.22023, -0.6064804, 1.954053, False
-16.52725, -0.8163692, 1.057823, False
-16.51963, -1.844267, 0.5980298, False
-16.1208, -2.596651, 0.7050803, False
-15.6475, -3.33926, 0.6561475, False
-15.85724, -4.224716, 0.7637706, False
-15.67133, -5.324787, 1.06757, False
-14.72149, -6.39165, 1.389269, False
-13.38434, -10.75811, 1.406297, False
-13.74821, -12.29423, 1.350964, False
-12.91308, -13.23225, 0.7608709, False
-12.50283, -14.00618, 0.590994, False
-12.61193, -15.50648, 2.017532, False
-10.86817, -15.58211, 1.07326, False
-9.9643, -16.44699, 1.028746, False
-8.980451, -16.56897, 0.554018, False
-8.369098, -16.85929, 0.3995541, False
-8.623205, -17.93203, 1.405308, False
-8.007871, -18.89749, 0.4844526, False
-7.436952, -19.97452, 1.553522, False
-6.596481, -21.08602, 0.8334646, False
-5.641915, -21.74379, 1.085034, False
-4.420965, -21.50053, 1.00486, False
-3.098467, -20.43834, 1.987633, False
-2.519666, -19.12148, 0.4892636, False
-1.818839, -18.86035, 0.6065259, False
-0.7750031, -18.56396, 1.163673, False
0.2947303, -18.61036, 0.5778047, False
1.065423, -18.39152, 0.624513, False
